dataset,generator,config,config_name,n_real,n_fake,auc,ap
videofeedback,SoRA-Clip,MS2,Unified region 2,300,300,0.7947055555555557,0.7885767707120577
videofeedback,SoRA-Clip,MS3,Unified equal region 1+2,300,300,0.8006722222222222,0.7981526551064682
videofeedback,SoRA-Clip,MS4,Unified equal region 1+2+3,300,300,0.7986777777777778,0.7956827512291867
videofeedback,Text2Video-Zero,MS0,Dataset-specific region reference,300,300,0.7965722222222222,0.7791262279873197
videofeedback,Text2Video-Zero,MS1,Unified region 1,300,300,0.7967055555555557,0.7796694849419755
videofeedback,Text2Video-Zero,MS2,Unified region 2,300,300,0.7978555555555554,0.7546522184131091
videofeedback,Text2Video-Zero,MS3,Unified equal region 1+2,300,300,0.8011555555555555,0.7701953669420949
videofeedback,Text2Video-Zero,MS4,Unified equal region 1+2+3,300,300,0.8027833333333334,0.7605117961491556
videofeedback,VideoCrafter2,MS0,Dataset-specific region reference,300,300,0.9475222222222223,0.9463831080275305
videofeedback,VideoCrafter2,MS1,Unified region 1,300,300,0.9475444444444445,0.9464782672854172
videofeedback,VideoCrafter2,MS2,Unified region 2,300,300,0.9475166666666666,0.9485839610557143
videofeedback,VideoCrafter2,MS3,Unified equal region 1+2,300,300,0.9483999999999999,0.9476941857582293
videofeedback,VideoCrafter2,MS4,Unified equal region 1+2+3,300,300,0.9493611111111112,0.9501241941603905
videofeedback,ZeroScope-576w,MS0,Dataset-specific region reference,300,300,0.8065500000000001,0.8329721651308849
videofeedback,ZeroScope-576w,MS1,Unified region 1,300,300,0.8065500000000001,0.8329721336596024
videofeedback,ZeroScope-576w,MS2,Unified region 2,300,300,0.7776777777777778,0.8034072621127422
videofeedback,ZeroScope-576w,MS3,Unified equal region 1+2,300,300,0.7942555555555555,0.820731516535312
videofeedback,ZeroScope-576w,MS4,Unified equal region 1+2+3,300,300,0.7842222222222224,0.8088482151535875
genvideo,Crafter,MS0,Dataset-specific region reference,188,188,0.8240012449071978,0.7901305726336402
genvideo,Crafter,MS1,Unified region 1,188,188,0.8215538705296513,0.7945192441569515
genvideo,Crafter,MS2,Unified region 2,188,188,0.8240861249434134,0.7903973159661741
genvideo,Crafter,MS3,Unified equal region 1+2,188,188,0.823053417836125,0.7931660636565783
genvideo,Crafter,MS4,Unified equal region 1+2+3,188,188,0.8218933906745134,0.7901971770461513
genvideo,Gen2,MS0,Dataset-specific region reference,1380,1380,0.9376953371140516,0.9422742341496206
genvideo,Gen2,MS1,Unified region 1,1380,1380,0.9401457151858855,0.945453042213675
genvideo,Gen2,MS2,Unified region 2,1380,1380,0.9376882482671708,0.9422659163006227
genvideo,Gen2,MS3,Unified equal region 1+2,1380,1380,0.9396555345515648,0.9446691696558871
genvideo,Gen2,MS4,Unified equal region 1+2+3,1380,1380,0.9392312539382481,0.9441062127350234
genvideo,Lavie,MS0,Dataset-specific region reference,1400,1400,0.8847007653061225,0.8783268387091532
genvideo,Lavie,MS1,Unified region 1,1400,1400,0.8668681122448979,0.8590683622104323
genvideo,Lavie,MS2,Unified region 2,1400,1400,0.8847385204081633,0.8783648037339152
genvideo,Lavie,MS3,Unified equal region 1+2,1400,1400,0.8749392857142856,0.8677619692785479
genvideo,Lavie,MS4,Unified equal region 1+2+3,1400,1400,0.8777022959183675,0.8711512219545668
genvideo,ModelScope,MS0,Dataset-specific region reference,700,700,0.8540755102040816,0.8515416807925239
genvideo,ModelScope,MS1,Unified region 1,700,700,0.8527612244897959,0.853960271204036
genvideo,ModelScope,MS2,Unified region 2,700,700,0.8540683673469388,0.8515392711339184
genvideo,ModelScope,MS3,Unified equal region 1+2,700,700,0.8536857142857144,0.8534505214982251
