family,dataset,generator,config,config_name,n_real,n_fake,auc,ap,delta_auc_vs_base,delta_ap_vs_base,base_config
layer,videofeedback,Pika,H2,Late layer 17,300,300,0.9093555555555556,0.921000484552722,0.04362222222222223,0.03373605925927503,H0
layer,videofeedback,Pika,H3,Equal calibrated layer 11+23,300,300,0.8972055555555556,0.9107478773631196,0.031472222222222235,0.023483452069672617,H0
layer,videofeedback,Pika,H4,Equal calibrated layer 17+23,300,300,0.8920333333333332,0.9062775870571452,0.02629999999999988,0.019013161763698272,H0
layer,videofeedback,Pika,H5,Equal calibrated layer 11+17+23,300,300,0.9030444444444444,0.9154400973329694,0.03731111111111107,0.028175672039522426,H0
layer,videofeedback,SoRA-Clip,H0,Final layer 23,300,300,0.80365,0.8040939487876853,0.0,0.0,H0
layer,videofeedback,SoRA-Clip,H1,Mid layer 11,300,300,0.7998722222222221,0.7885024619107559,-0.00377777777777788,-0.01559148687692935,H0
layer,videofeedback,SoRA-Clip,H2,Late layer 17,300,300,0.7827222222222223,0.7742097004092968,-0.020927777777777656,-0.029884248378388434,H0
layer,videofeedback,SoRA-Clip,H3,Equal calibrated layer 11+23,300,300,0.8044111111111112,0.7975491182966986,0.0007611111111112123,-0.006544830490986642,H0
layer,videofeedback,SoRA-Clip,H4,Equal calibrated layer 17+23,300,300,0.7972777777777778,0.7937844775979859,-0.0063722222222222236,-0.010309471189699382,H0
layer,videofeedback,SoRA-Clip,H5,Equal calibrated layer 11+17+23,300,300,0.7985500000000001,0.7907815118782218,-0.005099999999999882,-0.013312436909463488,H0
layer,videofeedback,Text2Video-Zero,H0,Final layer 23,300,300,0.7965722222222222,0.7791262279873197,0.0,0.0,H0
layer,videofeedback,Text2Video-Zero,H1,Mid layer 11,300,300,0.6226277777777778,0.6643343811406391,-0.17394444444444446,-0.11479184684668053,H0
layer,videofeedback,Text2Video-Zero,H2,Late layer 17,300,300,0.6542944444444445,0.6820490698521744,-0.14227777777777773,-0.09707715813514528,H0
layer,videofeedback,Text2Video-Zero,H3,Equal calibrated layer 11+23,300,300,0.7096,0.7199643056752605,-0.08697222222222223,-0.05916192231205919,H0
layer,videofeedback,Text2Video-Zero,H4,Equal calibrated layer 17+23,300,300,0.7313333333333334,0.7348186621634867,-0.06523888888888885,-0.044307565823832995,H0
