group_type,dataset,subset,measure,n,mean,median,q10,q90,source_model,fixed_error_type,motion_group,effective_k_group,duration_group
generator,genvideo,annotated,mean_common_magnitude,700,1.787617344664676,1.57159952322642,0.7759636402130127,2.9390060981114705,ModelScope,,,,
generator,genvideo,annotated,raw_d2_score,700,0.04284999981300811,0.008333333147068734,0.0,0.09866666719317442,ModelScope,,,,
generator,genvideo,annotated,residual_d2_score,700,0.05597142857676815,0.004999999888241291,0.0,0.1786666656533878,ModelScope,,,,
generator,genvideo,annotated,R0,700,0.15267571428571428,0.079,0.012,0.4353000000000001,ModelScope,,,,
generator,genvideo,annotated,R1,700,0.1501957142857143,0.07650000000000001,0.014,0.4341000000000001,ModelScope,,,,
generator,genvideo,annotated,R1_minus_R0,700,-0.002480000000000001,-0.0020000000000000018,-0.020000000000000004,0.013999999999999999,ModelScope,,,,
generator,genvideo,annotated,rho_mean,700,0.10141339839835252,0.08833369985222816,0.051091285422444344,0.16967995017766954,MorphStudio,,,,
generator,genvideo,annotated,rho_median,700,0.09187010095055614,0.07885533198714256,0.04106617830693722,0.15781995505094532,MorphStudio,,,,
generator,genvideo,annotated,mean_motion_magnitude,700,4.79550249014582,4.158270835876465,2.2493626832962037,8.569699764251709,MorphStudio,,,,
generator,genvideo,annotated,mean_common_magnitude,700,1.663160175893988,1.3297945261001587,0.6718472957611085,3.155959892272949,MorphStudio,,,,
generator,genvideo,annotated,raw_d2_score,700,0.06027857108307731,0.0149999996647238,0.0,0.1749999970197677,MorphStudio,,,,
generator,genvideo,annotated,residual_d2_score,700,0.10642857162148825,0.02500000037252903,0.0,0.3305000126361848,MorphStudio,,,,
generator,genvideo,annotated,R0,700,0.16192285714285715,0.095,0.03,0.39470000000000016,MorphStudio,,,,
generator,genvideo,annotated,R1,700,0.17676571428571428,0.10850000000000001,0.036700000000000024,0.43810000000000004,MorphStudio,,,,
generator,genvideo,annotated,R1_minus_R0,700,0.014842857142857144,0.00799999999999998,-0.0040000000000000036,0.05199999999999999,MorphStudio,,,,
generator,genvideo,annotated,rho_mean,700,0.09594774528628304,0.08566328883171082,0.05160756682356199,0.1502514200905959,Show_1,,,,
generator,genvideo,annotated,rho_median,700,0.08482361270159128,0.0749745654563109,0.04059928345183531,0.1400438855091731,Show_1,,,,
generator,genvideo,annotated,mean_motion_magnitude,700,3.7986532807633986,3.3936317364374795,2.1503793239593505,6.021202421188354,Show_1,,,,
generator,genvideo,annotated,mean_common_magnitude,700,1.3045003689754577,1.1292922695477805,0.6512307763099671,2.1511608282725017,Show_1,,,,
generator,genvideo,annotated,raw_d2_score,700,0.0471095233419466,0.008333333147068734,0.0,0.120166668544213,Show_1,,,,
generator,genvideo,annotated,residual_d2_score,700,0.08356904770691125,0.016666666294137638,0.0,0.23533333241939552,Show_1,,,,
generator,genvideo,annotated,R0,700,0.13099285714285716,0.053000000000000005,0.011,0.38810000000000006,Show_1,,,,
generator,genvideo,annotated,R1,700,0.14007571428571428,0.0675,0.011,0.42040000000000005,Show_1,,,,
generator,genvideo,annotated,R1_minus_R0,700,0.009082857142857143,0.002,-0.006000000000000005,0.044,Show_1,,,,
generator,genvideo,annotated,rho_mean,56,0.06755564530335721,0.055258274699250855,0.04488201563556989,0.10943119476238886,Sora,,,,
generator,genvideo,annotated,rho_median,56,0.06043181665951298,0.050312307973702744,0.03716716418663661,0.09989604105552037,Sora,,,,
generator,genvideo,annotated,mean_motion_magnitude,56,4.213526065505687,4.255420764287313,2.060572544733683,6.2802778879801435,Sora,,,,
generator,genvideo,annotated,mean_common_magnitude,56,1.190778717487341,1.1815981268882751,0.5549593220154445,1.7732918659845989,Sora,,,,
generator,genvideo,annotated,raw_d2_score,56,0.021547618942956082,0.0049999998882412,0.0,0.08083333385487391,Sora,,,,
generator,genvideo,annotated,residual_d2_score,56,0.04639880933488409,0.008333333147068819,0.0,0.17000000178813934,Sora,,,,
generator,genvideo,annotated,R0,56,0.12623214285714285,0.05450000000000001,0.009000000000000001,0.3425,Sora,,,,
generator,genvideo,annotated,R1,56,0.13383928571428574,0.0595,0.0125,0.3525,Sora,,,,
generator,genvideo,annotated,R1_minus_R0,56,0.007607142857142854,0.0020000000000000018,-0.0020000000000000018,0.023999999999999966,Sora,,,,
generator,genvideo,annotated,rho_mean,515,0.08215788641649158,0.0711057186126709,0.04018044074376424,0.13721362948417665,WildScrape,,,,
generator,genvideo,annotated,rho_median,515,0.07177223025076694,0.059865228831768036,0.03320767879486084,0.12222973580161732,WildScrape,,,,
generator,genvideo,annotated,mean_motion_magnitude,515,4.243702311437685,4.102768977483113,1.6419838349024456,6.973216438293458,WildScrape,,,,
generator,genvideo,annotated,mean_common_magnitude,515,1.3626816226205636,1.2142099539438884,0.43616843024889634,2.4787197271982833,WildScrape,,,,
generator,genvideo,annotated,raw_d2_score,515,0.09565695744688983,0.0149999996647238,0.0,0.3426666617393494,WildScrape,,,,
generator,genvideo,annotated,residual_d2_score,515,0.1407200651204147,0.029999999329447746,0.0,0.4793333272139232,WildScrape,,,,
generator,genvideo,annotated,R0,515,0.22819417475728157,0.111,0.015,0.6638000000000001,WildScrape,,,,
generator,genvideo,annotated,R1,515,0.23556504854368931,0.115,0.016,0.642,WildScrape,,,,
generator,genvideo,annotated,R1_minus_R0,515,0.00737087378640777,0.0020000000000000018,-0.017199999999999948,0.044000000000000004,WildScrape,,,,
generator,genvideo,real,rho_mean,7984,0.11643956971677745,0.10308522172272205,0.05962351883451144,0.19097806761662162,MSR-VTT,,,,
generator,genvideo,real,rho_median,7984,0.10646987036063606,0.09271228003005186,0.04975856511543194,0.18202523278693356,MSR-VTT,,,,
generator,genvideo,real,mean_motion_magnitude,7984,5.127643430760444,4.978316267331442,2.458594091733297,8.00272437731425,MSR-VTT,,,,
generator,genvideo,real,mean_common_magnitude,7984,1.7355626046175041,1.6115523874759674,0.8342088749011358,2.770688541730245,MSR-VTT,,,,
generator,genvideo,real,raw_d2_score,7984,0.22176957984249468,0.1800000021855036,0.02166666649281971,0.48166666130224867,MSR-VTT,,,,
generator,genvideo,real,residual_d2_score,7984,0.3122595191765863,0.28166666626930237,0.029999999639888603,0.646666675247252,MSR-VTT,,,,
generator,genvideo,real,R0,7984,0.46758016032064126,0.48450000000000004,0.114,0.7889999999999999,MSR-VTT,,,,
generator,genvideo,real,R1,7984,0.4747364729458918,0.492,0.11800000000000001,0.8029999999999999,MSR-VTT,,,,
generator,genvideo,real,R1_minus_R0,7984,0.0071563126252505,0.006000000000000005,-0.038,0.051999999999999935,MSR-VTT,,,,
generator,videofeedback,annotated,rho_mean,300,0.08992844351877768,0.07562877610325813,0.05364984832704067,0.13941286504268646,AnimateDiff,,,,
generator,videofeedback,annotated,rho_median,300,0.082614078335464,0.06867050379514694,0.04678156413137913,0.1368511512875557,AnimateDiff,,,,
generator,videofeedback,annotated,mean_motion_magnitude,300,3.8644704719384513,3.078185796737671,1.6359235644340515,7.592442321777346,AnimateDiff,,,,
generator,videofeedback,annotated,mean_common_magnitude,300,1.2724607878923415,0.9562963843345642,0.5151255011558533,2.4255395650863654,AnimateDiff,,,,
generator,videofeedback,annotated,raw_d2_score,300,0.07069999967701729,0.0199999995529651,0.0044999998994170905,0.2000000029802322,AnimateDiff,,,,
generator,videofeedback,annotated,residual_d2_score,300,0.11386666658644874,0.04500000178813934,0.009999999776482582,0.36500000953674316,AnimateDiff,,,,
generator,videofeedback,annotated,R0,300,0.12812999999999997,0.095,0.006,0.27220000000000005,AnimateDiff,,,,
generator,videofeedback,annotated,R1,300,0.1432166666666667,0.1085,0.013900000000000003,0.3118000000000002,AnimateDiff,,,,
generator,videofeedback,annotated,R1_minus_R0,300,0.015086666666666672,0.007999999999999997,0.0,0.04999999999999999,AnimateDiff,,,,
generator,videofeedback,annotated,rho_mean,300,0.07054333065739936,0.06228886917233467,0.04144764232138793,0.11325899312893552,Fast-SVD,,,,
generator,videofeedback,annotated,rho_median,300,0.06094914242314796,0.05280077333251636,0.032525657179454964,0.09753594522674883,Fast-SVD,,,,
generator,videofeedback,annotated,mean_motion_magnitude,300,3.211459030177858,3.021324435869853,2.193161642551422,4.530780688921611,Fast-SVD,,,,
generator,videofeedback,annotated,mean_common_magnitude,300,0.9533777132961486,0.8236006200313568,0.5278976947069168,1.4951410690943403,Fast-SVD,,,,
generator,videofeedback,annotated,raw_d2_score,300,0.03491111099202594,0.01666666629413757,0.0049999998882412,0.09833333392937972,Fast-SVD,,,,
generator,videofeedback,annotated,residual_d2_score,300,0.06400000008754432,0.03583333361893892,0.009999999776482582,0.15533333420753487,Fast-SVD,,,,
