alpha,source_model,n_real,n_fake,n_total,auc,ap
0.7,Text2Video-Zero,4080.0,4080.0,8160.0,0.7788436538831218,0.7949293275227987
0.7,VideoCrafter2,4080.0,4080.0,8160.0,0.9200997813341022,0.9351415888300866
0.7,ZeroScope-576w,2178.0,2178.0,4356.0,0.8695117549988575,0.8760379526685139
0.7,Average,2820.2,2820.2,5640.4,0.8668018484318057,0.8779820521946391
0.75,AnimateDiff,1398.0,1398.0,2796.0,0.8691933704597411,0.8874097514926771
0.75,Fast-SVD,1000.0,1000.0,2000.0,0.904531,0.9092599165638249
0.75,LVDM,3172.0,3172.0,6344.0,0.9056432863851258,0.9191764064288981
0.75,LaVie-base,3214.0,3214.0,6428.0,0.8415387874068374,0.8554753667491117
0.75,ModelScope,4080.0,4080.0,8160.0,0.8671742839292581,0.8737607559664258
0.75,Pika,4080.0,4080.0,8160.0,0.8803755767012688,0.8901097678867838
0.75,SoRA-Clip,920.0,920.0,1840.0,0.835225661625709,0.8373222307264078
0.75,Text2Video-Zero,4080.0,4080.0,8160.0,0.7881724577085736,0.8030332104412361
0.75,VideoCrafter2,4080.0,4080.0,8160.0,0.9254066945405613,0.9392735187742628
0.75,ZeroScope-576w,2178.0,2178.0,4356.0,0.8636450067078668,0.8707490333493724
0.75,Average,2820.2,2820.2,5640.4,0.8680906125464942,0.8785569958379
0.8,AnimateDiff,1398.0,1398.0,2796.0,0.8692910984627539,0.8868955803258831
0.8,Fast-SVD,1000.0,1000.0,2000.0,0.904596,0.9073231412490763
0.8,LVDM,3172.0,3172.0,6344.0,0.9060427264732869,0.9198534517089481
0.8,LaVie-base,3214.0,3214.0,6428.0,0.8435699020580851,0.8566281459784604
0.8,ModelScope,4080.0,4080.0,8160.0,0.8659965518069973,0.8724752287914129
0.8,Pika,4080.0,4080.0,8160.0,0.8764198265090349,0.8847499354406191
0.8,SoRA-Clip,920.0,920.0,1840.0,0.8363917769376181,0.8375068534380534
0.8,Text2Video-Zero,4080.0,4080.0,8160.0,0.7977028666858901,0.810913058954986
0.8,VideoCrafter2,4080.0,4080.0,8160.0,0.9307862961361014,0.9432748969294908
0.8,ZeroScope-576w,2178.0,2178.0,4356.0,0.8559781806713938,0.8640347281993007
0.8,Average,2820.2,2820.2,5640.4,0.8686775225741161,0.878365502101623
0.85,AnimateDiff,1398.0,1398.0,2796.0,0.8680349610418316,0.8849327875801797
0.85,Fast-SVD,1000.0,1000.0,2000.0,0.9036010000000001,0.904360845196422
0.85,LVDM,3172.0,3172.0,6344.0,0.9050944662391129,0.9192941502740273
0.85,LaVie-base,3214.0,3214.0,6428.0,0.8447785416091471,0.8568714104797517
0.85,ModelScope,4080.0,4080.0,8160.0,0.8634157535563245,0.8699855861627867
0.85,Pika,4080.0,4080.0,8160.0,0.8709160539215687,0.8780140345904319
0.85,SoRA-Clip,920.0,920.0,1840.0,0.8366611531190926,0.8366308591260747
0.85,Text2Video-Zero,4080.0,4080.0,8160.0,0.8073278306420607,0.8185110254480543
0.85,VideoCrafter2,4080.0,4080.0,8160.0,0.9361227052095349,0.9469724134396842
0.85,ZeroScope-576w,2178.0,2178.0,4356.0,0.845671423307286,0.8556019123463129
0.85,Average,2820.2,2820.2,5640.4,0.8681623888645958,0.8771175024643725
0.9,AnimateDiff,1398.0,1398.0,2796.0,0.8650821426890244,0.8813087344271552
0.9,Fast-SVD,1000.0,1000.0,2000.0,0.9008560000000002,0.8999814244306011
0.9,LVDM,3172.0,3172.0,6344.0,0.9017425089329871,0.9168313903558777
0.9,LaVie-base,3214.0,3214.0,6428.0,0.8446773779462827,0.8558284001386115
0.9,ModelScope,4080.0,4080.0,8160.0,0.8587606329296424,0.86600769330088
0.9,Pika,4080.0,4080.0,8160.0,0.8632164912533641,0.8697040217851028
0.9,SoRA-Clip,920.0,920.0,1840.0,0.8358093100189036,0.8348458983151475
0.9,Text2Video-Zero,4080.0,4080.0,8160.0,0.8173146145713187,0.8259247981566683
0.9,VideoCrafter2,4080.0,4080.0,8160.0,0.941230896770473,0.9501677370629358
0.9,ZeroScope-576w,2178.0,2178.0,4356.0,0.8311466362430548,0.84458887083964
0.9,Average,2820.2,2820.2,5640.4,0.8659836611355051,0.874518896881262
0.95,AnimateDiff,1398.0,1398.0,2796.0,0.8592373941109412,0.8754943530020589
0.95,Fast-SVD,1000.0,1000.0,2000.0,0.8945209999999999,0.8929921545201387
0.95,LVDM,3172.0,3172.0,6344.0,0.8937102746446284,0.9112911367752019
0.95,LaVie-base,3214.0,3214.0,6428.0,0.8421903975644823,0.8530426033544758
0.95,ModelScope,4080.0,4080.0,8160.0,0.8504052527873895,0.8598246913037442
0.95,Pika,4080.0,4080.0,8160.0,0.8518416594579008,0.85926122454728
0.95,SoRA-Clip,920.0,920.0,1840.0,0.8329194234404538,0.8316111933461003
0.95,Text2Video-Zero,4080.0,4080.0,8160.0,0.8275409097462515,0.8329973079108768
0.95,VideoCrafter2,4080.0,4080.0,8160.0,0.9451337826797385,0.9520178702816988
0.95,ZeroScope-576w,2178.0,2178.0,4356.0,0.8102213385208628,0.8305768120107555
0.95,Average,2820.2,2820.2,5640.4,0.860772143295265,0.8699109347052332
1.0,AnimateDiff,1398.0,1398.0,2796.0,0.8461656341268233,0.8659162027273873
1.0,Fast-SVD,1000.0,1000.0,2000.0,0.8771800000000001,0.8803514645119668
1.0,LVDM,3172.0,3172.0,6344.0,0.8731339419320059,0.8997678921497079
1.0,LaVie-base,3214.0,3214.0,6428.0,0.8336175757972375,0.8472577718962522
1.0,ModelScope,4080.0,4080.0,8160.0,0.8328692089580931,0.8495836105103092
1.0,Pika,4080.0,4080.0,8160.0,0.8318677611976163,0.8451749220935041
1.0,SoRA-Clip,920.0,920.0,1840.0,0.8237624054820416,0.8252624916541884
1.0,Text2Video-Zero,4080.0,4080.0,8160.0,0.8356513420319109,0.8385028106812952
1.0,VideoCrafter2,4080.0,4080.0,8160.0,0.9425133962898885,0.9493011031670711
1.0,ZeroScope-576w,2178.0,2178.0,4356.0,0.778124976284255,0.8127119261579863
1.0,Average,2820.2,2820.2,5640.4,0.8474886242099873,0.8613830195549669
