dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,condition,variant
genvideo,0.8577600000000001,0.883030135315105,0.8472708834812327,0.358,0.358,0.388,clean,ttr
videofeedback,0.7888363636363636,0.8227129058705845,0.7572509352673545,0.11818181818181818,0.11818181818181818,0.5181818181818182,clean,ttr
comgenvid,0.362,0.45197198499781244,0.4195526321784814,0.0,0.0,0.9299999999999999,clean,ttr_raw
genvideo,0.6722400000000001,0.719422287969478,0.6631689270398748,0.046,0.046,0.658,clean,ttr_raw
videofeedback,0.6205090909090909,0.6609570114571564,0.6445557332310364,0.11454545454545455,0.11454545454545455,0.7254545454545455,clean,ttr_raw
comgenvid,0.9249999999999999,0.9196785556386025,0.9365027801280517,0.51,0.51,0.55,crf23,full
genvideo,0.89176,0.8918128784950952,0.8893070134781409,0.26,0.26,0.41200000000000003,crf23,full
videofeedback,0.802890909090909,0.8097300688487684,0.7713716819169356,0.06909090909090909,0.06909090909090909,0.6218181818181818,crf23,full
comgenvid,0.9196,0.9235235366416408,0.9253318757767722,0.38,0.38,0.4,crf23,global_only
genvideo,0.8869,0.8855351626492833,0.8854568633720339,0.268,0.268,0.43200000000000005,crf23,global_only
videofeedback,0.8006909090909091,0.8169782149858297,0.7646137723341137,0.08,0.08,0.5727272727272728,crf23,global_only
comgenvid,0.8839999999999999,0.8678772901104763,0.9000862731788652,0.32,0.32,0.6100000000000001,crf23,local_raw
genvideo,0.86068,0.8627933345625107,0.8486703874442039,0.10599999999999998,0.10599999999999998,0.542,crf23,local_raw
videofeedback,0.7561454545454546,0.7603910653754583,0.7572956871363431,0.13454545454545455,0.13454545454545455,0.6781818181818182,crf23,local_raw
comgenvid,0.69,0.7665242361065292,0.6250704734540389,0.03,0.03,0.6100000000000001,crf23,split
genvideo,0.8061999999999999,0.8404150266233522,0.780894568967623,0.144,0.144,0.484,crf23,split
videofeedback,0.7340363636363637,0.7836877467519273,0.7020036666893604,0.08727272727272727,0.08727272727272727,0.5836363636363636,crf23,split
comgenvid,0.33999999999999997,0.4324826765901032,0.4043663936204278,0.0,0.0,0.94,crf23,split_raw
genvideo,0.525,0.596030475151957,0.5466028804197457,0.008,0.008,0.8,crf23,split_raw
videofeedback,0.5434545454545454,0.6030703936734517,0.576567990282581,0.08363636363636363,0.08363636363636363,0.78,crf23,split_raw
comgenvid,0.7068,0.7805654787425382,0.6438950579820066,0.03,0.03,0.6000000000000001,crf23,ttr
genvideo,0.8487,0.8752592613152995,0.8346608746945886,0.33999999999999997,0.33999999999999997,0.398,crf23,ttr
videofeedback,0.7771818181818181,0.8122428994221877,0.7486471224397654,0.11090909090909093,0.11090909090909093,0.5618181818181818,crf23,ttr
comgenvid,0.3806,0.460661755463261,0.42461423928017505,0.0,0.0,0.94,crf23,ttr_raw
genvideo,0.64276,0.6974230186710012,0.635401731052458,0.014000000000000002,0.014000000000000002,0.6980000000000001,crf23,ttr_raw
videofeedback,0.6109818181818182,0.6509672524640716,0.6347060871310108,0.10181818181818182,0.10181818181818182,0.7527272727272727,crf23,ttr_raw
comgenvid,0.907,0.9037088895017868,0.9210174086782195,0.5,0.5,0.53,crf35,full
genvideo,0.89444,0.892938752394322,0.895219528438082,0.262,0.262,0.45599999999999996,crf35,full
videofeedback,0.7780727272727272,0.7801548945759916,0.7491852526992596,0.060000000000000005,0.060000000000000005,0.6581818181818182,crf35,full
comgenvid,0.9007000000000001,0.9005025032103975,0.9134383607745158,0.5800000000000001,0.5800000000000001,0.47,crf35,global_only
genvideo,0.89,0.8887305776096698,0.8917476887275843,0.268,0.268,0.48,crf35,global_only
videofeedback,0.7525090909090909,0.7690628453937723,0.7219596978112574,0.06181818181818182,0.06181818181818182,0.6636363636363636,crf35,global_only
comgenvid,0.8766,0.8600113305745065,0.8974033991259344,0.44,0.44,0.61,crf35,local_raw
genvideo,0.86524,0.8637753554573898,0.8568416125724985,0.13,0.13,0.514,crf35,local_raw
videofeedback,0.7527999999999999,0.7525983242723894,0.7668695357398793,0.17454545454545453,0.17454545454545453,0.6963636363636364,crf35,local_raw
comgenvid,0.7102,0.762839764188501,0.6682733481643397,0.06,0.06,0.6799999999999999,crf35,split
genvideo,0.7602399999999999,0.7961494967469921,0.7257441810009142,0.10400000000000001,0.10400000000000001,0.58,crf35,split
videofeedback,0.6817454545454545,0.7307306184916549,0.6499747630292068,0.052727272727272734,0.052727272727272734,0.7018181818181818,crf35,split
comgenvid,0.36560000000000004,0.45731717505552805,0.41817911704101746,0.0,0.0,0.95,crf35,split_raw
genvideo,0.44123999999999997,0.5221590211999674,0.4808294691047069,0.008,0.008,0.882,crf35,split_raw
videofeedback,0.5012,0.5602322091871098,0.5462363427782029,0.05454545454545454,0.05454545454545454,0.889090909090909,crf35,split_raw
comgenvid,0.7312,0.7793560883934643,0.6943707068307495,0.06,0.06,0.63,crf35,ttr
genvideo,0.8142400000000001,0.8416997426441089,0.7898141448414413,0.2,0.2,0.52,crf35,ttr
videofeedback,0.724909090909091,0.7612971646049362,0.6935770254295318,0.07272727272727274,0.07272727272727274,0.6672727272727272,crf35,ttr
comgenvid,0.39720000000000005,0.46692190264843375,0.45323583622561936,0.01,0.01,0.94,crf35,ttr_raw
genvideo,0.55756,0.6328242690966115,0.5493049561651243,0.01,0.01,0.766,crf35,ttr_raw
videofeedback,0.5566181818181818,0.6060363742551992,0.5899769759954253,0.08,0.08,0.8218181818181818,crf35,ttr_raw
