variant,run_name,dataset,generator,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake
t3_path_chord,t3_path_chord,genvideo,MorphStudio,0.6096911680503865,0.9522614524022094,0.0,0.0014285714285714286,0.815506012024048,7984,700
t3_path_chord,t3_path_chord,genvideo,Show_1,0.5640820927569425,0.9394731041083798,0.0,0.0,0.9125751503006012,7984,700
t3_path_chord,t3_path_chord,genvideo,Sora,0.776199720870312,0.99779545115914,0.0,0.03571428571428571,0.5780310621242485,7984,56
t3_path_chord,t3_path_chord,genvideo,WildScrape,0.6464370488549915,0.9544094360772768,0.0,0.036893203883495145,0.9656813627254509,7984,515
t3_path_chord,t3_path_chord,videofeedback,AnimateDiff,0.7903466666666666,0.8778695351572865,0.013333333333333334,0.05,0.556,500,300
t3_path_chord,t3_path_chord,videofeedback,Fast-SVD,0.7729433333333333,0.8636562621972863,0.0033333333333333335,0.03,0.614,500,300
t3_path_chord,t3_path_chord,videofeedback,LVDM,0.75384,0.8652591664473017,0.0033333333333333335,0.02,0.552,500,300
t3_path_chord,t3_path_chord,videofeedback,LaVie-base,0.8085433333333334,0.8738218877593011,0.05,0.15,0.67,500,300
t3_path_chord,t3_path_chord,videofeedback,ModelScope,0.7731933333333333,0.8639128890303365,0.006666666666666667,0.06,0.614,500,300
t3_path_chord,t3_path_chord,videofeedback,Pika,0.6982933333333333,0.815444354589296,0.016666666666666666,0.05333333333333334,0.69,500,300
t3_path_chord,t3_path_chord,videofeedback,SoRA-Clip,0.6595699999999999,0.7634999361655328,0.006666666666666667,0.016666666666666666,0.78,500,300
t3_path_chord,t3_path_chord,videofeedback,Text2Video-Zero,0.8266433333333333,0.8821006566200864,0.013333333333333334,0.06666666666666667,0.628,500,300
t3_path_chord,t3_path_chord,videofeedback,VideoCrafter2,0.9283866666666667,0.9582949929740152,0.12,0.32666666666666666,0.27,500,300
t3_path_chord,t3_path_chord,videofeedback,ZeroScope-576w,0.7065999999999999,0.8292599065602538,0.0,0.006666666666666667,0.628,500,300
t4_d2_curvature,t4_d2_curvature,comgenvid,Sora,0.885290514869645,0.8320061516572024,0.0,0.18,0.42538975501113585,898,1700
t4_d2_curvature,t4_d2_curvature,comgenvid,VEO3,0.9133178304729463,0.8745463225075985,0.0,0.21764705882352942,0.35523385300668153,898,1700
t4_d2_curvature,t4_d2_curvature,genvideo,Crafter,0.840247649554428,0.9941318651893711,0.031914893617021274,0.13829787234042554,0.6669589178356713,7984,188
t4_d2_curvature,t4_d2_curvature,genvideo,Gen2,0.9395354567831314,0.9884922764918775,0.12318840579710146,0.37318840579710144,0.28406813627254507,7984,1380
t4_d2_curvature,t4_d2_curvature,genvideo,Lavie,0.8703090556112223,0.9692316993603164,0.08142857142857143,0.23714285714285716,0.5100200400801603,7984,1400
t4_d2_curvature,t4_d2_curvature,genvideo,ModelScope,0.8498189235614084,0.9827890076709578,0.06428571428571428,0.21428571428571427,0.5642535070140281,7984,700
t4_d2_curvature,t4_d2_curvature,genvideo,MorphStudio,0.8543384984254223,0.9831382822317879,0.04285714285714286,0.18142857142857144,0.5414579158316634,7984,700
t4_d2_curvature,t4_d2_curvature,genvideo,Show_1,0.8612255761523048,0.9803928804629382,0.07,0.24857142857142858,0.6052104208416834,7984,700
t4_d2_curvature,t4_d2_curvature,genvideo,Sora,0.8750178929287146,0.998813734701817,0.05357142857142857,0.26785714285714285,0.46893787575150303,7984,56
t4_d2_curvature,t4_d2_curvature,genvideo,WildScrape,0.7759872901142091,0.9711292203401444,0.05242718446601942,0.21165048543689322,0.9016783567134269,7984,515
t4_d2_curvature,t4_d2_curvature,videofeedback,AnimateDiff,0.8639266666666666,0.9181712502659365,0.0,0.05,0.532,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,Fast-SVD,0.9169033333333333,0.9509761384424393,0.023333333333333334,0.20666666666666667,0.326,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,LVDM,0.9051466666666668,0.9457305686268606,0.0033333333333333335,0.07,0.314,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,LaVie-base,0.8389433333333334,0.8973112289174175,0.01,0.07666666666666666,0.58,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,ModelScope,0.83021,0.8844974807387762,0.013333333333333334,0.11333333333333333,0.58,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,Pika,0.8696166666666666,0.9265853535072093,0.03333333333333333,0.12333333333333334,0.396,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,SoRA-Clip,0.8051066666666666,0.869684126288048,0.06,0.13333333333333333,0.632,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,Text2Video-Zero,0.77217,0.8344793989442116,0.006666666666666667,0.03,0.684,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,VideoCrafter2,0.93616,0.9603452636039731,0.013333333333333334,0.2,0.238,500,300
t4_d2_curvature,t4_d2_curvature,videofeedback,ZeroScope-576w,0.8139366666666666,0.8908965029232538,0.02,0.03666666666666667,0.54,500,300
t5_geometry,t5_geometry,comgenvid,Sora,0.7725098257565833,0.6616098682138358,0.05,0.10882352941176471,0.6714922048997772,898,1700
t5_geometry,t5_geometry,comgenvid,VEO3,0.8795516179745839,0.8130800701306127,0.09588235294117647,0.21058823529411766,0.45879732739420936,898,1700
t5_geometry,t5_geometry,genvideo,Crafter,0.5410735033897582,0.9822738541723657,0.0,0.0,0.9048096192384769,7984,188
t5_geometry,t5_geometry,genvideo,Gen2,0.6002323487554819,0.9183470303716617,0.0,0.0,0.6893787575150301,7984,1380
t5_geometry,t5_geometry,genvideo,Lavie,0.6310452154308617,0.9137728518886824,0.0,0.0,0.8220190380761523,7984,1400
t5_geometry,t5_geometry,genvideo,ModelScope,0.5384792799885485,0.9360765071753361,0.0,0.002857142857142857,0.9127004008016032,7984,700
t5_geometry,t5_geometry,genvideo,MorphStudio,0.566326044947037,0.9465142677584079,0.0,0.0,0.812625250501002,7984,700
t5_geometry,t5_geometry,genvideo,Show_1,0.543137346120813,0.9362970974739295,0.0,0.0,0.9165831663326653,7984,700
t5_geometry,t5_geometry,genvideo,Sora,0.5863591021328372,0.9953437083755452,0.0,0.0,0.8787575150300602,7984,56
t5_geometry,t5_geometry,genvideo,WildScrape,0.5385815319960309,0.9445809091007789,0.0,0.003883495145631068,0.9616733466933868,7984,515
t5_geometry,t5_geometry,videofeedback,AnimateDiff,0.9155966666666666,0.9525684171329997,0.03,0.18333333333333332,0.28,500,300
t5_geometry,t5_geometry,videofeedback,Fast-SVD,0.7801,0.8613462976455275,0.006666666666666667,0.03333333333333333,0.632,500,300
t5_geometry,t5_geometry,videofeedback,LVDM,0.6795199999999999,0.8312258901446906,0.0033333333333333335,0.006666666666666667,0.608,500,300
t5_geometry,t5_geometry,videofeedback,LaVie-base,0.8056466666666666,0.8731390778546765,0.05333333333333334,0.13666666666666666,0.648,500,300
t5_geometry,t5_geometry,videofeedback,ModelScope,0.6930133333333334,0.8172679875844994,0.006666666666666667,0.016666666666666666,0.644,500,300
t5_geometry,t5_geometry,videofeedback,Pika,0.7533399999999999,0.8372814978274912,0.023333333333333334,0.07333333333333333,0.73,500,300
t5_geometry,t5_geometry,videofeedback,SoRA-Clip,0.7418666666666667,0.816617312348545,0.013333333333333334,0.056666666666666664,0.748,500,300
t5_geometry,t5_geometry,videofeedback,Text2Video-Zero,0.8758199999999999,0.9218019296567341,0.023333333333333334,0.13666666666666666,0.464,500,300
t5_geometry,t5_geometry,videofeedback,VideoCrafter2,0.9849133333333333,0.9915520279307897,0.38333333333333336,0.7166666666666667,0.072,500,300
t5_geometry,t5_geometry,videofeedback,ZeroScope-576w,0.7941566666666667,0.8848141891169281,0.0,0.016666666666666666,0.498,500,300
