dataset,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant
videofeedback,0.8233175622969465,0.8333290142207254,0.7972413290173518,0.03336566120110676,0.09854105183520452,0.5837842410863612,s17_source
comgenvid,0.9246627620894738,0.9288909179281404,0.9217016773837814,0.05011135857461024,0.34131403118040093,0.34855233853006684,s29_d1
genvideo,0.8802525876136794,0.8685751826240733,0.8813364692359931,0.1269792918748631,0.27315339362856517,0.5023009258103714,s29_d1
videofeedback,0.8078367243124389,0.8224806073913018,0.77395347742948,0.02506584920426301,0.06077898914354713,0.5902416154386083,s29_d1
comgenvid,0.9292370821573306,0.9331941549781887,0.9263573142884582,0.06124721603563474,0.3446547884187082,0.3307349665924276,s29_full
genvideo,0.8849670001101442,0.874810350537176,0.8841475648490222,0.12471843783452505,0.28434778066691474,0.4791576964454826,s29_full
videofeedback,0.8145535921088496,0.8305292467466097,0.779523491647554,0.03209291741823802,0.06334169474692986,0.5787119211890256,s29_full
comgenvid,0.9146900933031086,0.9223644826963806,0.9070099122720948,0.06347438752783964,0.26224944320712695,0.35634743875278396,s29_global
genvideo,0.8786560137824795,0.8697247068155869,0.8716847333753244,0.07811617917691492,0.22466412037329575,0.49009676887608045,s29_global
videofeedback,0.8052937746946217,0.832441512682479,0.7632545539796276,0.022103918215318992,0.06297797389613934,0.5355950441823747,s29_global
comgenvid,0.928879321035114,0.9328539926840573,0.9258905113867073,0.05679287305122495,0.34075723830734966,0.3363028953229399,s29_matched
genvideo,0.884862631020179,0.8747863505125159,0.8839854223182446,0.12189977345850637,0.2843683112383707,0.48403794837932246,s29_matched
videofeedback,0.8149238602226977,0.8308366836569543,0.7799201535504746,0.03483973449004337,0.06089097633149612,0.5742117187907481,s29_matched
comgenvid,0.9288507993511936,0.9326833688589482,0.9264397531305355,0.07628062360801782,0.3351893095768374,0.33908685968819596,s29_source
genvideo,0.8849670001101442,0.874810350537176,0.8841475648490222,0.12471843783452505,0.28434778066691474,0.4791576964454826,s29_source
videofeedback,0.8145535921088496,0.8305292467466097,0.779523491647554,0.03209291741823802,0.06334169474692986,0.5787119211890256,s29_source
comgenvid,0.9261753413921557,0.9295778094439253,0.9255101671410946,0.09688195991091314,0.34131403118040093,0.35356347438752783,s43_d1
genvideo,0.8777766018989211,0.8648121864111522,0.8794258780057793,0.09490966976292911,0.26908405940052765,0.5204682794256219,s43_d1
videofeedback,0.7907795945643001,0.8058980089015122,0.7534781396961154,0.009958955506969657,0.06637949595512987,0.6094535676609337,s43_d1
comgenvid,0.9306966483301173,0.933853740616082,0.9302397809119256,0.12694877505567928,0.361358574610245,0.3346325167037862,s43_full
genvideo,0.882765988566276,0.8711429872454307,0.8823633594383132,0.10343422491545859,0.2860234937492391,0.5006638965995539,s43_full
videofeedback,0.7966048161545594,0.814852388704194,0.7563055909141485,0.01168309343800414,0.06310227273515114,0.5947973832436376,s43_full
comgenvid,0.9208427165539854,0.9276407829637204,0.9156507899463555,0.13752783964365256,0.31570155902004454,0.3541202672605791,s43_global
genvideo,0.8787084567818484,0.8690448859307665,0.8731024168675917,0.0966626390009764,0.2155548036139039,0.501309176090895,s43_global
videofeedback,0.7830234804608377,0.8132148009579836,0.7347622766234373,0.011386777301335877,0.07600573271006411,0.5688348258017126,s43_global
comgenvid,0.9304833557373227,0.9336326802985517,0.9301332207479882,0.13363028953229397,0.3619153674832962,0.3346325167037862,s43_matched
genvideo,0.8826496627797258,0.8709939177635999,0.8822999128018566,0.10427125681559728,0.28283067830773556,0.5032833028888153,s43_matched
videofeedback,0.7977643869115414,0.8158420812632826,0.7573568019380993,0.01223168277969693,0.06348322863284846,0.591488681509346,s43_matched
comgenvid,0.9294925372393985,0.9322042961404454,0.9295765711024402,0.13808463251670378,0.36636971046770606,0.33797327394209353,s43_source
genvideo,0.882765988566276,0.8711429872454307,0.8823633594383132,0.10343422491545859,0.2860234937492391,0.5006638965995539,s43_source
videofeedback,0.7966048161545594,0.814852388704194,0.7563055909141485,0.01168309343800414,0.06310227273515114,0.5947973832436376,s43_source
comgenvid,0.9257326352547854,0.9299976874985387,0.9230296639798226,0.05957683741648107,0.3346325167037862,0.3374164810690423,s59_d1
genvideo,0.8759758445361836,0.8655505692660294,0.8778917726355635,0.10756668756677248,0.28048375370906714,0.5087109584854601,s59_d1
videofeedback,0.8203825671296613,0.828915502386526,0.7966977926096223,0.02918132463152152,0.0612635625399935,0.5802990838024084,s59_d1
comgenvid,0.9300332091606689,0.9339622144821422,0.9273225926139803,0.06570155902004454,0.34187082405345215,0.3368596881959911,s59_full
genvideo,0.8804400567654561,0.8710671948994928,0.8806602535429626,0.11845130585858459,0.2931723981803513,0.49161724693663367,s59_full
videofeedback,0.8265794716061804,0.8373298404598749,0.8012101314081473,0.03326220200035963,0.06259199336590286,0.5619033722623503,s59_full
comgenvid,0.9151607010877922,0.9239894047791852,0.9075203895800595,0.09910913140311804,0.2912026726057907,0.34855233853006684,s59_global
genvideo,0.8811856343781909,0.8733170972503815,0.874923159167065,0.11173795810553236,0.1984554185305728,0.500701131227262,s59_global
videofeedback,0.8131747990628869,0.8372104731632773,0.7791695298682623,0.04505111171856653,0.10004472387680602,0.5330247240542635,s59_global
comgenvid,0.9294373539813789,0.9333489423643702,0.9267812494338248,0.06403118040089087,0.34855233853006684,0.3346325167037862,s59_matched
genvideo,0.8796075004833712,0.8700870776114724,0.8799749847364723,0.11452214429466989,0.29125864646589367,0.5006798021151491,s59_matched
videofeedback,0.8294267399523385,0.8401432982571719,0.8030697239644137,0.0333052670391999,0.057872749489858946,0.5553237459828521,s59_matched
comgenvid,0.9306954082569034,0.934659485251349,0.9281173837480177,0.06681514476614699,0.33797327394209353,0.3301781737193764,s59_source
genvideo,0.8804400567654561,0.8710671948994928,0.8806602535429626,0.11845130585858459,0.2931723981803513,0.49161724693663367,s59_source
videofeedback,0.8265794716061804,0.8373298404598749,0.8012101314081473,0.03326220200035963,0.06259199336590286,0.5619033722623503,s59_source
comgenvid,0.9203283961885109,0.92494398392939,0.91657278579964,0.06959910913140312,0.2906458797327394,0.3591314031180401,s71_d1
