dataset,contrast,metric,delta,ci95_low,ci95_high
genvideo,new_full_vs_position_matched,ap_real,0.0005068217514444806,0.00024827190980608734,0.0007426394194659284
genvideo,original_full_vs_position_matched,auc,-0.0004769085902477377,-0.000989043802839451,8.585675000851147e-05
genvideo,original_full_vs_position_matched,ap_real,-0.0006835768535432551,-0.0011913952140000321,-9.572193352290487e-05
genvideo,position_matched_vs_pooled,auc,0.021349582378359044,0.016073629628888454,0.027310495424967926
genvideo,position_matched_vs_pooled,ap_real,0.02032537358020592,0.014268533503100766,0.026431796900004172
genvideo,matched_raw_vs_pooled_raw,auc,0.03753669697469775,0.02701214335573081,0.049149298214823146
genvideo,matched_raw_vs_pooled_raw,ap_real,0.036224403490749735,0.025425738452194667,0.04842375115647835
videofeedback,new_Full_vs_Global,auc,0.0118813255344698,-0.0017980307961080314,0.025007602160015508
videofeedback,new_Full_vs_Global,ap_real,0.00019649117108927472,-0.011908649016369,0.012589481816273704
videofeedback,new_source_vs_clip,auc,-2.7755575615628914e-17,-5.551115123125783e-17,5.551115123125783e-17
videofeedback,new_source_vs_clip,ap_real,-8.326672684688674e-17,-5.551115123125783e-17,5.551115123125783e-17
videofeedback,new_D2_vs_D1,auc,0.006909022567930695,0.003618742506568883,0.01000285085531477
videofeedback,new_D2_vs_D1,ap_real,0.00945332595981937,0.006481404894252775,0.012475987574744376
videofeedback,new_full_vs_position_matched,auc,-0.0007808995234058203,-0.0017631939508666733,8.292236185454393e-05
videofeedback,new_full_vs_position_matched,ap_real,-0.000864342281336139,-0.0015774822167988554,-0.00012622187788374073
videofeedback,original_full_vs_position_matched,auc,-0.00024630958427884764,-0.001623608287426606,0.0010736412768239214
videofeedback,original_full_vs_position_matched,ap_real,-0.0005670086196386537,-0.0016744528600633134,0.0005639428217453001
videofeedback,position_matched_vs_pooled,auc,0.05010919844563033,0.036735402343897244,0.06375174103376742
videofeedback,position_matched_vs_pooled,ap_real,0.054636619149006305,0.04058763856431336,0.06807267178293938
videofeedback,matched_raw_vs_pooled_raw,auc,0.06228011380375864,0.03801875775899882,0.08562004740828028
videofeedback,matched_raw_vs_pooled_raw,ap_real,0.08090805757237318,0.05624152091926684,0.1027055786472212
Average,new_Full_vs_Global,auc,0.009721386972093682,0.004540602605706256,0.014938974835987367
Average,new_Full_vs_Global,ap_real,0.00393765685340199,-0.0008853905422867282,0.008818364679093117
Average,new_source_vs_clip,auc,-4.493198611782434e-05,-0.00040366862424290627,0.0002658037276605845
Average,new_source_vs_clip,ap_real,-0.00010804836173146833,-0.0005127244423061312,0.0003065632708593051
Average,new_D2_vs_D1,auc,0.005347736832623927,0.004126963243667523,0.006507539685023506
Average,new_D2_vs_D1,ap_real,0.006527682088077608,0.005422861301352153,0.00771990776803566
Average,new_full_vs_position_matched,auc,7.792937862300768e-05,-0.00027020870249728677,0.0004006846288091557
Average,new_full_vs_position_matched,ap_real,5.6013084361937006e-05,-0.00021849047855641173,0.00033425604082510887
Average,original_full_vs_position_matched,auc,-0.0002253651307991822,-0.0007494457184195974,0.000282711533574557
Average,original_full_vs_position_matched,ap_real,-0.0004098944130841442,-0.0008334720201513028,1.4916632305488473e-05
Average,position_matched_vs_pooled,auc,0.019964619343649237,0.014726996850584113,0.02542652672871301
Average,position_matched_vs_pooled,ap_real,0.020755462391279827,0.015062919689143507,0.026078712163157016
Average,matched_raw_vs_pooled_raw,auc,0.025293639201107793,0.01612838531563774,0.03460165597420364
Average,matched_raw_vs_pooled_raw,ap_real,0.02971123760834519,0.020200267889252804,0.03915330446612348
