dataset,generator,local,alpha_global,auc,ap
videofeedback,AnimateDiff,L3,0.2,0.7805833333333334,0.7946220763224334
videofeedback,AnimateDiff,L3,0.4,0.8164277777777778,0.8306940670918206
videofeedback,AnimateDiff,L3,0.5,0.8298277777777778,0.846274437777191
videofeedback,AnimateDiff,L3,0.6,0.8415499999999999,0.8603941659020902
videofeedback,AnimateDiff,L3,0.8,0.8567499999999999,0.8757907803001992
videofeedback,AnimateDiff,P0,0.2,0.8288555555555556,0.8353071969692987
videofeedback,AnimateDiff,P0,0.4,0.8537555555555556,0.8625589391574983
videofeedback,AnimateDiff,P0,0.5,0.8624444444444445,0.8738966428373546
videofeedback,AnimateDiff,P0,0.6,0.8679,0.8808783301281173
videofeedback,AnimateDiff,P0,0.8,0.8723888888888888,0.8865457047543502
videofeedback,Fast-SVD,L0,0.2,0.8746166666666666,0.8967711294610727
videofeedback,Fast-SVD,L0,0.4,0.899861111111111,0.9138747223306263
videofeedback,Fast-SVD,L0,0.5,0.9068055555555556,0.9178420115834638
videofeedback,Fast-SVD,L0,0.6,0.9119722222222222,0.9196300504938129
videofeedback,Fast-SVD,L0,0.8,0.913938888888889,0.9144663529933277
videofeedback,Fast-SVD,L1,0.2,0.8918111111111111,0.8922980395034067
videofeedback,Fast-SVD,L1,0.4,0.8917999999999999,0.8922000002877205
videofeedback,Fast-SVD,L1,0.5,0.8917999999999999,0.8922000002877205
videofeedback,Fast-SVD,L1,0.6,0.8917999999999999,0.8922000002877205
videofeedback,Fast-SVD,L1,0.8,0.8917999999999999,0.8922000002877205
videofeedback,Fast-SVD,L2,0.2,0.8344555555555556,0.8649035537072747
videofeedback,Fast-SVD,L2,0.4,0.8696000000000002,0.8912289415115311
videofeedback,Fast-SVD,L2,0.5,0.8825555555555555,0.9003915404065226
videofeedback,Fast-SVD,L2,0.6,0.8927777777777779,0.9066391333703732
videofeedback,Fast-SVD,L2,0.8,0.9067333333333333,0.91028366168155
videofeedback,Fast-SVD,L3,0.2,0.85405,0.8729652787492491
videofeedback,Fast-SVD,L3,0.4,0.8826944444444444,0.8957783307255183
videofeedback,Fast-SVD,L3,0.5,0.8920277777777776,0.902373710346296
videofeedback,Fast-SVD,L3,0.6,0.8981500000000001,0.9059093826624538
videofeedback,Fast-SVD,L3,0.8,0.9041166666666666,0.9060501565681842
videofeedback,Fast-SVD,P0,0.2,0.8783388888888889,0.8995047583019811
videofeedback,Fast-SVD,P0,0.4,0.90205,0.9153951112605399
videofeedback,Fast-SVD,P0,0.5,0.908638888888889,0.9187882072880064
videofeedback,Fast-SVD,P0,0.6,0.9129944444444446,0.9198354408940359
videofeedback,Fast-SVD,P0,0.8,0.9133833333333332,0.9133471359214597
videofeedback,LVDM,L0,0.2,0.8790111111111112,0.884171878002719
videofeedback,LVDM,L0,0.4,0.9010555555555556,0.9066765483022409
videofeedback,LVDM,L0,0.5,0.9079333333333333,0.9145749988352843
videofeedback,LVDM,L0,0.6,0.9127666666666667,0.9208582336493317
videofeedback,LVDM,L0,0.8,0.9163555555555555,0.9269081373917002
videofeedback,LVDM,L1,0.2,0.8920222222222222,0.9122073732611169
videofeedback,LVDM,L1,0.4,0.8920111111111111,0.9121635136119941
videofeedback,LVDM,L1,0.5,0.8920111111111111,0.9121635136119941
videofeedback,LVDM,L1,0.6,0.8920111111111111,0.9121635136119941
videofeedback,LVDM,L1,0.8,0.8920111111111111,0.9121635136119941
videofeedback,LVDM,L2,0.2,0.7968222222222222,0.8129857355493978
videofeedback,LVDM,L2,0.4,0.8372777777777778,0.8503772205748583
videofeedback,LVDM,L2,0.5,0.8546777777777779,0.8683107064756465
videofeedback,LVDM,L2,0.6,0.870811111111111,0.8856745318838646
videofeedback,LVDM,L2,0.8,0.8972444444444444,0.9121163647360305
videofeedback,LVDM,L3,0.2,0.8503555555555555,0.8631155703224349
videofeedback,LVDM,L3,0.4,0.8796666666666666,0.8919325822720267
videofeedback,LVDM,L3,0.5,0.8903,0.9032750952340002
videofeedback,LVDM,L3,0.6,0.8972777777777778,0.9110224943157763
videofeedback,LVDM,L3,0.8,0.9058222222222221,0.9208499158393879
videofeedback,LVDM,P0,0.2,0.8824888888888889,0.8872915392776373
videofeedback,LVDM,P0,0.4,0.9033666666666667,0.9093520255222766
videofeedback,LVDM,P0,0.5,0.9100222222222222,0.917124879549804
videofeedback,LVDM,P0,0.6,0.9142444444444444,0.9228117051450461
videofeedback,LVDM,P0,0.8,0.9165222222222222,0.9273512432122685
videofeedback,LaVie-base,L0,0.2,0.7915222222222222,0.7954275007697105
videofeedback,LaVie-base,L0,0.4,0.8184222222222222,0.824423901208875
videofeedback,LaVie-base,L0,0.5,0.8285111111111111,0.8365480670715258
videofeedback,LaVie-base,L0,0.6,0.8371888888888889,0.8470014930846107
videofeedback,LaVie-base,L0,0.8,0.8478,0.8575511350989162
videofeedback,LaVie-base,L1,0.2,0.8378111111111112,0.849157658617592
videofeedback,LaVie-base,L1,0.4,0.8378111111111112,0.849157658617592
videofeedback,LaVie-base,L1,0.5,0.8378111111111112,0.849157658617592
videofeedback,LaVie-base,L1,0.6,0.8378111111111112,0.849157658617592
videofeedback,LaVie-base,L1,0.8,0.8378111111111112,0.849157658617592
videofeedback,LaVie-base,L2,0.2,0.7134222222222222,0.7332322849973619
videofeedback,LaVie-base,L2,0.4,0.7544444444444445,0.7734387164732719
videofeedback,LaVie-base,L2,0.5,0.7733,0.7925237091164011
videofeedback,LaVie-base,L2,0.6,0.7925333333333333,0.8121544746693427
videofeedback,LaVie-base,L2,0.8,0.8246888888888889,0.840793618359601
videofeedback,LaVie-base,L3,0.2,0.7937999999999998,0.7996346975127122
videofeedback,LaVie-base,L3,0.4,0.8195555555555556,0.8276279230826711
videofeedback,LaVie-base,L3,0.5,0.8289,0.839159425663569
videofeedback,LaVie-base,L3,0.6,0.8370777777777778,0.849061097049757
videofeedback,LaVie-base,L3,0.8,0.8461222222222222,0.8578046250113514
videofeedback,LaVie-base,P0,0.2,0.7941222222222222,0.7980621539000687
videofeedback,LaVie-base,P0,0.4,0.8208666666666669,0.8272513953217397
videofeedback,LaVie-base,P0,0.5,0.8311777777777779,0.8394860834646842
