dataset,generator,config,delta_auc_vs_L0,delta_ap_vs_L0
genvideo,WildScrape,P0,0.0033895748892450728,0.005205399115485787
videofeedback,AnimateDiff,P0,0.0001222222222224678,0.0031366079786938617
videofeedback,Fast-SVD,P0,0.0018666666666667941,0.0034790911255797585
videofeedback,LVDM,P0,0.0033222222222222264,0.004398682300753132
videofeedback,LaVie-base,P0,0.00019999999999986695,0.001607156507883678
videofeedback,ModelScope,P0,0.002755555555555622,0.004395232049394071
videofeedback,Pika,P0,-0.003477777777777691,0.0009324195820324954
videofeedback,SoRA-Clip,P0,0.0010444444444444034,0.0033814824597424575
videofeedback,Text2Video-Zero,P0,0.0033111111111110425,0.0022069909977889823
videofeedback,VideoCrafter2,P0,0.0016500000000000403,0.00272542389892938
videofeedback,ZeroScope-576w,P0,0.0021277777777777285,0.0026633002403053663
