dataset,generator,config,config_name,n_real,n_fake,auc,ap
genvideo,Crafter,B1,Global first-order temporal,188,188,0.7810660932548663,0.7535602992300137
genvideo,Crafter,B2,Original STALL,188,188,0.7989616342236305,0.7886960648272836
genvideo,Crafter,B3,Raw D3 percentile,188,188,0.8039554096876415,0.82954319457961
genvideo,Crafter,B4,STALL + raw D3,188,188,0.8405669986419193,0.8482185682266333
genvideo,Crafter,B5,Patch spatial,188,188,0.7678955409687641,0.7869181499215475
genvideo,Crafter,B6,Patch same-grid D2,188,188,0.7851403349932096,0.757927297779265
genvideo,Crafter,B7,Current patch,188,188,0.7902331371661385,0.7725501886261652
genvideo,Crafter,B8,Current global + patch,188,188,0.8234212313263921,0.7992421611266026
genvideo,Gen2,B0,Global spatial,1380,1380,0.8887652278932996,0.9137100139700934
genvideo,Gen2,B1,Global first-order temporal,1380,1380,0.8224309493803823,0.8166802540435995
genvideo,Gen2,B2,Original STALL,1380,1380,0.8782750472589792,0.8884865964261245
genvideo,Gen2,B3,Raw D3 percentile,1380,1380,0.8944145137576139,0.9031337054052543
genvideo,Gen2,B4,STALL + raw D3,1380,1380,0.93092049989498,0.9401921419179582
genvideo,Gen2,B5,Patch spatial,1380,1380,0.760808391094308,0.7829571388878092
genvideo,Gen2,B6,Patch same-grid D2,1380,1380,0.8799222852341945,0.8991012379501166
genvideo,Gen2,B7,Current patch,1380,1380,0.8768076559546313,0.8971516883691505
genvideo,Gen2,B8,Current global + patch,1380,1380,0.9113705103969754,0.9254644026818408
genvideo,Lavie,B0,Global spatial,1400,1400,0.8087696428571429,0.8169218971994308
genvideo,Lavie,B1,Global first-order temporal,1400,1400,0.8363410714285716,0.827490171454638
genvideo,Lavie,B2,Original STALL,1400,1400,0.8524221938775509,0.8474085945107646
genvideo,Lavie,B3,Raw D3 percentile,1400,1400,0.6704142857142856,0.6851962286339547
genvideo,Lavie,B4,STALL + raw D3,1400,1400,0.7741762755102042,0.800520724334896
