dataset,generator,config,delta_auc_vs_G0,delta_ap_vs_G0
videofeedback,AnimateDiff,G4,-0.0330611111111111,-0.010542730063775041
videofeedback,Fast-SVD,G4,-0.12267777777777766,-0.0789217329875549
videofeedback,LVDM,G4,-0.12319999999999998,-0.08971308934748856
videofeedback,LaVie-base,G4,-0.04770555555555556,-0.03623937506853636
videofeedback,ModelScope,G4,-0.08595555555555556,-0.06536535588257675
videofeedback,Pika,G4,-0.009500000000000064,-0.004508318449494952
videofeedback,SoRA-Clip,G4,-0.08417222222222209,-0.04790083991373961
videofeedback,Text2Video-Zero,G4,-0.02997222222222229,-0.018518273052513523
videofeedback,VideoCrafter2,G4,-0.1134666666666666,-0.07617538097706411
videofeedback,ZeroScope-576w,G4,-0.048311111111111305,-0.04670605007597972
genvideo,Crafter,G4,-0.06339124038026234,-0.01567228745968463
genvideo,Gen2,G4,-0.048086536441923955,-0.03550792114696444
genvideo,Lavie,G4,-0.0972887755102041,-0.062251513434466
genvideo,ModelScope,G4,-0.029323469387754986,-0.01252242516482227
genvideo,MorphStudio,G4,-0.09201734693877561,-0.061685418398586433
genvideo,Show_1,G4,-0.0759642857142857,-0.03637986197253196
genvideo,Sora,G4,-0.028380102040816424,-0.02671176626970939
genvideo,WildScrape,G4,-0.04429823734564975,-0.010329007750109365
