dataset,beta,mode,source_model,n_real,n_fake,n_total,auc,ap
comgenvid,0.95,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8639617592095461,0.877018500832978
comgenvid,0.95,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8789346851627563,0.8873728883947707
comgenvid,0.95,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.8714482221861513,0.8821956946138744
comgenvid,1.0,patch_only,Sora,1698.0,1698.0,3396.0,0.8254509566440669,0.8440311758911252
comgenvid,1.0,patch_only,VEO3,1698.0,1698.0,3396.0,0.8338946879929411,0.8409039143768717
comgenvid,1.0,patch_only,Average,1698.0,1698.0,3396.0,0.8296728223185039,0.8424675451339985
comgenvid,1.0,fused_alpha0p60,Sora,1698.0,1698.0,3396.0,0.8590633892017352,0.8735604231507181
comgenvid,1.0,fused_alpha0p60,VEO3,1698.0,1698.0,3396.0,0.8738538792260276,0.8832232617707804
comgenvid,1.0,fused_alpha0p60,Average,1698.0,1698.0,3396.0,0.8664586342138814,0.8783918424607493
videofeedback,0.0,patch_only,AnimateDiff,1398.0,1398.0,2796.0,0.8275128888397689,0.8206795685300075
videofeedback,0.0,patch_only,Fast-SVD,1000.0,1000.0,2000.0,0.8749425,0.8999589138820822
videofeedback,0.0,patch_only,LVDM,3172.0,3172.0,6344.0,0.8476519204133266,0.8525470117752363
videofeedback,0.0,patch_only,LaVie-base,3214.0,3214.0,6428.0,0.7835967428592008,0.7761892017553818
videofeedback,0.0,patch_only,ModelScope,4080.0,4080.0,8160.0,0.8254541222126105,0.8240833601866187
videofeedback,0.0,patch_only,Pika,4080.0,4080.0,8160.0,0.889672181372549,0.9045399097065938
videofeedback,0.0,patch_only,SoRA-Clip,920.0,920.0,1840.0,0.788178757088847,0.7808003694605339
videofeedback,0.0,patch_only,Text2Video-Zero,4080.0,4080.0,8160.0,0.6474754301230295,0.6597405735448281
videofeedback,0.0,patch_only,VideoCrafter2,4080.0,4080.0,8160.0,0.8535880430603615,0.8678900450164382
videofeedback,0.0,patch_only,ZeroScope-576w,2178.0,2178.0,4356.0,0.8720858092571091,0.865160106646008
videofeedback,0.0,patch_only,Average,2820.2,2820.2,5640.4,0.8210158395226802,0.8251589060503729
videofeedback,0.0,fused_alpha0p60,AnimateDiff,1398.0,1398.0,2796.0,0.8686653322445104,0.8838058277776082
videofeedback,0.0,fused_alpha0p60,Fast-SVD,1000.0,1000.0,2000.0,0.904944,0.9147913210873226
videofeedback,0.0,fused_alpha0p60,LVDM,3172.0,3172.0,6344.0,0.8918454589257516,0.9053165728778345
videofeedback,0.0,fused_alpha0p60,LaVie-base,3214.0,3214.0,6428.0,0.8350100040697803,0.8481733524381858
videofeedback,0.0,fused_alpha0p60,ModelScope,4080.0,4080.0,8160.0,0.8599884960111497,0.8666945611605432
videofeedback,0.0,fused_alpha0p60,Pika,4080.0,4080.0,8160.0,0.8976960183583237,0.9084276785363301
