dataset,source_model,comparison,n_boot,delta_auc_mean,delta_auc_ci_low,delta_auc_ci_high,delta_ap_mean,delta_ap_ci_low,delta_ap_ci_high
videofeedback,Fast-SVD,patch_minus_global,500,-0.006294374000000005,-0.022055775000000104,0.008139224999999896,0.012327388996149572,-0.0008829492473785418,0.024827834618259294
videofeedback,LVDM,alpha_minus_global,500,0.02626354528273083,0.019877317527737286,0.03327080507403212,0.012883624803620385,0.008069541036911317,0.018236600338831628
videofeedback,LVDM,alpha_minus_patch,500,0.03779825462869465,0.034159700897989885,0.041479020599539784,0.04342606731933814,0.0390947446383893,0.047861706050267634
videofeedback,LVDM,patch_minus_global,500,-0.011534709345963817,-0.021091772180205415,-0.0018120456977747292,-0.030542442515717753,-0.03891748920401014,-0.021471863405842007
videofeedback,LaVie-base,alpha_minus_global,500,-0.0012719270545129835,-0.0076430926128647405,0.005359613345704065,0.0006217171154080818,-0.004962344179087358,0.006053314663487838
videofeedback,LaVie-base,alpha_minus_patch,500,0.05174077406756145,0.047488864978553376,0.056258644894826515,0.06914052261678498,0.06033474071850914,0.07756286627312613
videofeedback,LaVie-base,patch_minus_global,500,-0.05301270112207443,-0.06325277503060074,-0.043022563078690075,-0.0685188055013769,-0.08079199901038008,-0.055537943594151054
videofeedback,ModelScope,alpha_minus_global,500,0.036196043758825,0.03089902635534664,0.04171924219830633,0.025574060577851443,0.02122849004518476,0.030217362943391057
videofeedback,ModelScope,alpha_minus_patch,500,0.027768752820702312,0.024778390271231257,0.030935369477511642,0.03230347584414351,0.02817648758720361,0.036691884159342346
videofeedback,ModelScope,patch_minus_global,500,0.008427290938122695,0.0007649270786221773,0.016482152047401052,-0.006729415266292069,-0.014921053521586158,0.0017875676056873803
videofeedback,Pika,alpha_minus_global,500,0.05819627068277741,0.05265881853888321,0.06350780665187354,0.05732339810694712,0.05271082356389681,0.06135475607376534
videofeedback,Pika,alpha_minus_patch,500,0.011573657645737402,0.008019423987014083,0.015091230077652912,0.005747350930107961,0.002128696017018189,0.009546239385810269
videofeedback,Pika,patch_minus_global,500,0.046622613037039996,0.038946282251519256,0.05427727855990824,0.05157604717683916,0.043851177184540915,0.058796527521385214
videofeedback,SoRA-Clip,alpha_minus_global,500,0.0051428130907372315,-0.005620820534026424,0.01732229146975421,0.008184761723473447,-0.0016449741976010067,0.01935106679391509
videofeedback,SoRA-Clip,alpha_minus_patch,500,0.04095673440453686,0.03314347530718332,0.049298573369565134,0.0510142689387134,0.039080276059817315,0.0629865389215912
videofeedback,SoRA-Clip,patch_minus_global,500,-0.035813921313799624,-0.054167282017958326,-0.01687680174858229,-0.04282950721523994,-0.062400667374248014,-0.021615967962191673
videofeedback,Text2Video-Zero,alpha_minus_global,500,-0.07090811903974742,-0.0766744251389585,-0.06491733704087269,-0.05678970793738518,-0.06091502050121608,-0.05219177884168898
videofeedback,Text2Video-Zero,alpha_minus_patch,500,0.09462594130989535,0.09040783706676819,0.09912195593554975,0.10232650840499263,0.09571357259994916,0.10908201255688016
videofeedback,Text2Video-Zero,patch_minus_global,500,-0.16553406034964277,-0.17434188534577696,-0.15598336649470468,-0.1591162163423778,-0.16886858150710318,-0.14946476143004514
videofeedback,VideoCrafter2,alpha_minus_global,500,-0.030371166303464397,-0.035436125114660655,-0.025334302196218687,-0.0213111008570173,-0.02555087618470269,-0.017433076001444933
videofeedback,VideoCrafter2,alpha_minus_patch,500,0.05790607978444191,0.054377376768764724,0.061413827799706375,0.056740319175812515,0.05262615065338011,0.06094494358624895
videofeedback,VideoCrafter2,patch_minus_global,500,-0.08827724608790631,-0.09659425203056199,-0.08073436769760807,-0.0780514200328298,-0.0857587604107234,-0.0709552200610481
videofeedback,ZeroScope-576w,alpha_minus_global,500,0.09238750494341529,0.08361659419134997,0.10090023386886637,0.06718337012000042,0.06012477003607463,0.07448350033389461
videofeedback,ZeroScope-576w,alpha_minus_patch,500,-0.0009047931944876559,-0.005170883536930437,0.0032769151570803505,0.005497764888264545,-0.0005999231465124682,0.012981635084121791
videofeedback,ZeroScope-576w,patch_minus_global,500,0.09329229813790295,0.08122847400880845,0.10470101402201326,0.06168560523173587,0.04833065591240443,0.07357924155149485
genvideo,Crafter,alpha_minus_global,500,0.01618056813037574,-0.009188971253960962,0.04527819431869638,0.008022394645026508,-0.01664377484089532,0.03342995212064214
genvideo,Crafter,alpha_minus_patch,500,0.0391003282028067,0.01926776822091435,0.058785083748302276,0.021173489831125977,-0.01082689388225606,0.051587793125168785
genvideo,Crafter,patch_minus_global,500,-0.022919760072430958,-0.06397054662743322,0.023600186736079738,-0.013151095186099465,-0.06038464347047795,0.03591267471507589
genvideo,Gen2,alpha_minus_global,500,0.03015519638731358,0.020696538279773028,0.03978487975215294,0.037538633160788745,0.02888720932475132,0.046226335831190915
genvideo,Gen2,alpha_minus_patch,500,0.03562339371980677,0.029424300304557865,0.0415668583280825,0.02730404572070046,0.021576129149075973,0.03277171503805891
genvideo,Gen2,patch_minus_global,500,-0.005468197332493185,-0.019703469596723304,0.008182439350976728,0.010234587440088283,-0.0026137995682161846,0.023523400252881757
genvideo,Lavie,alpha_minus_global,500,0.009096321428571433,-0.0014073724489796072,0.020120758928571535,0.017420838295385137,0.007445149687619121,0.02822135962387254
genvideo,Lavie,alpha_minus_patch,500,0.04688676428571428,0.04003889030612254,0.05385264668367349,0.0494013286418427,0.037267536971575074,0.06185131183508554
genvideo,Lavie,patch_minus_global,500,-0.03779044285714285,-0.05470470663265296,-0.021542889030612137,-0.03198049034645756,-0.05298818319065686,-0.010744113674442014
genvideo,ModelScope,alpha_minus_global,500,0.06122038367346939,0.04712579081632654,0.07788494897959192,0.06497371250373729,0.049137642879475786,0.08047304308866042
genvideo,ModelScope,alpha_minus_patch,500,0.01573879591836735,0.005037066326530765,0.02591260204081638,0.016658718578987517,0.0006209988713659826,0.030876559561024825
genvideo,ModelScope,patch_minus_global,500,0.045481587755102026,0.023033545918367315,0.06999877551020413,0.04831499392474978,0.018667916435643396,0.07809818176222505
genvideo,MorphStudio,alpha_minus_global,500,0.009393648979591841,-0.0040502551020408645,0.023855229591836825,0.004955834042127826,-0.009229512828017428,0.01829458381957984
genvideo,MorphStudio,alpha_minus_patch,500,0.05401558367346938,0.04435607142857158,0.0642158418367346,0.06601797340684704,0.051846772775701926,0.08325359750371567
genvideo,MorphStudio,patch_minus_global,500,-0.04462193469387754,-0.06569660714285706,-0.024148571428571363,-0.0610621393647192,-0.08724317720701492,-0.03727818557083769
genvideo,Show_1,alpha_minus_global,500,0.027440871428571434,0.01166617346938767,0.040690000000000066,0.028434157191384406,0.014210769133419194,0.04163161528141354
genvideo,Show_1,alpha_minus_patch,500,0.03487404489795918,0.02447301020408162,0.046507678571428505,0.022363298872162315,0.0032064185856572397,0.04276686262001717
genvideo,Show_1,patch_minus_global,500,-0.007433173469387749,-0.03288936224489797,0.015524923469387861,0.00607085831922209,-0.024415643932952234,0.0331466563957985
genvideo,Sora,alpha_minus_global,500,0.08389636479591836,0.032796556122449014,0.13828922193877538,0.0859273836101539,0.04367368610184338,0.13215710245526088
genvideo,Sora,alpha_minus_patch,500,-0.003601403061224484,-0.0379464285714286,0.033195153061224475,-0.021372489297583883,-0.07575666781498086,0.021048759054243055
genvideo,Sora,patch_minus_global,500,0.08749776785714286,0.0147879464285715,0.16792889030612232,0.10729987290773775,0.030725872902655937,0.19382398443090157
genvideo,WildScrape,alpha_minus_global,500,0.038817230653218966,0.022252427184465996,0.0549125742294278,0.01624784152281722,0.002830817937552646,0.030306233713894442
genvideo,WildScrape,alpha_minus_patch,500,0.01774046564237911,0.004291874823263195,0.02906979922707129,-0.024855293884719284,-0.044810877691921706,-0.001389525239590827
genvideo,WildScrape,patch_minus_global,500,0.021076765010839854,-0.004931944575360469,0.04943953247242918,0.041103135407536504,0.00859927041203049,0.07104874809240838
