dataset,generator,config,base_config,delta_auc,delta_ap
videofeedback,Text2Video-Zero,U4,U0,-0.005561111111111128,-0.026386515107343023
videofeedback,Text2Video-Zero,U5,U0,-0.0030055555555554836,-0.043202127115041566
videofeedback,VideoCrafter2,HistoricalTuned,U0,0.0,0.0
videofeedback,VideoCrafter2,U0,U0,0.0,0.0
videofeedback,VideoCrafter2,U1,U0,4.4444444444513564e-05,0.0022438647636791043
videofeedback,VideoCrafter2,U2,U0,0.002366666666666628,0.006859209538933708
videofeedback,VideoCrafter2,U3,U0,0.00237777777777759,0.005695077518769076
videofeedback,VideoCrafter2,U4,U0,0.0007444444444443254,0.0050929750176889055
videofeedback,VideoCrafter2,U5,U0,0.002949999999999897,0.007343139469950022
videofeedback,ZeroScope-576w,HistoricalTuned,U0,0.0,0.0
videofeedback,ZeroScope-576w,U0,U0,0.0,0.0
videofeedback,ZeroScope-576w,U1,U0,-0.028850000000000153,-0.02953485506541309
videofeedback,ZeroScope-576w,U2,U0,-0.04610555555555562,-0.05797695586683527
videofeedback,ZeroScope-576w,U3,U0,0.020166666666666666,0.015165411088870151
videofeedback,ZeroScope-576w,U4,U0,0.0006277777777776716,-0.006025313395529808
videofeedback,ZeroScope-576w,U5,U0,-0.013155555555555698,-0.023490245444606317
