dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
genvideo,generator_macro,U3-U0,U3,U0,auc,-0.01511807129831727,-0.018100076687400043,-0.012207298912300163,1000
genvideo,generator_macro,U3-U0,U3,U0,ap,-0.013176016432321302,-0.016291011044495627,-0.009819571972827987,1000
genvideo,generator_macro,U4-U0,U4,U0,auc,-0.01533623095250164,-0.01883945462060277,-0.01221590691989558,1000
genvideo,generator_macro,U4-U0,U4,U0,ap,-0.01669505728109437,-0.021001984124891508,-0.012085725122174098,1000
genvideo,generator_macro,U5-U0,U5,U0,auc,-0.02027683529233315,-0.0243301259427528,-0.016350037710323603,1000
genvideo,generator_macro,U5-U0,U5,U0,ap,-0.02334835206591468,-0.02835707779030294,-0.016919737972760404,1000
genvideo,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,auc,0.0035265333944882044,0.0017082833686208388,0.005441182150195459,1000
genvideo,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,ap,0.0019327704351597974,-0.001313212285298223,0.005732165715036079,1000
Macro-3,,U1-U0,U1,U0,auc,-0.0033876849523710624,-0.0045887613750345965,-0.002147439579030148,1000
Macro-3,,U1-U0,U1,U0,ap,-0.00427573792672926,-0.005646706878002097,-0.0025333926973135973,1000
Macro-3,,U2-U0,U2,U0,auc,-0.007289893029446881,-0.00886690288161357,-0.005647388418204721,1000
Macro-3,,U2-U0,U2,U0,ap,-0.009395966027785767,-0.01131557190895278,-0.006701038001151897,1000
Macro-3,,U3-U0,U3,U0,auc,-0.009036713722633339,-0.010544921514517894,-0.007780251939597992,1000
Macro-3,,U3-U0,U3,U0,ap,-0.0074037397133980345,-0.008870502328011193,-0.005934074104108419,1000
Macro-3,,U4-U0,U4,U0,auc,-0.011755640972955443,-0.013581964033890646,-0.01021545139156571,1000
Macro-3,,U4-U0,U4,U0,ap,-0.011931017577283508,-0.013900500385316955,-0.009673746470003644,1000
Macro-3,,U5-U0,U5,U0,auc,-0.015236370855179641,-0.017117745811635898,-0.013296892305218801,1000
Macro-3,,U5-U0,U5,U0,ap,-0.017014948856023383,-0.01926771477881016,-0.014394870386758378,1000
Macro-3,,HistoricalTuned-U0,HistoricalTuned,U0,auc,-0.00312506277438733,-0.004362297133393344,-0.0019389155088215483,1000
Macro-3,,HistoricalTuned-U0,HistoricalTuned,U0,ap,-0.0025700626225606074,-0.003962733056808736,-0.0010072189418599753,1000
