dataset,metric,delta,source_groups,generator_cells,ci95_low,ci95_high,contrast
Macro-3,auc,0.027499803280230994,,,0.020463441263201924,0.03476993907574641,full minus global_source_local_source
Macro-3,ap_real,0.031793221919066715,,,0.024936945530559976,0.03935557734169828,full minus global_source_local_source
comgenvid,auc,0.006721816856067153,4091.0,2.0,0.0010708659911637692,0.011870047755619513,full minus global_target_local_source
comgenvid,ap_real,0.006782344637830617,4091.0,2.0,-2.5304774324869086e-05,0.013243214477681354,full minus global_target_local_source
genvideo,auc,0.0031554970733085053,13623.0,8.0,-0.0017278874900577956,0.008094151140748455,full minus global_target_local_source
genvideo,ap_real,0.009057782861601166,13623.0,8.0,0.0028210803906979372,0.015880475017085213,full minus global_target_local_source
videofeedback,auc,-0.0077916666666666525,3500.0,10.0,-0.01650421728283418,0.0007094268714511779,full minus global_target_local_source
videofeedback,ap_real,-0.006547603845323524,3500.0,10.0,-0.013987661143740816,0.0007239392697267967,full minus global_target_local_source
Macro-3,auc,0.0006952157542363353,,,-0.003012082424542113,0.004391525299939243,full minus global_target_local_source
Macro-3,ap_real,0.003097507884702753,,,-0.0008352307344239903,0.007097659478586513,full minus global_target_local_source
comgenvid,auc,0.0077392969280906665,4091.0,2.0,0.002875418355815293,0.012885713659297854,full minus global_source_local_target
comgenvid,ap_real,0.00773857347447543,4091.0,2.0,0.0033293155406290006,0.012766912594112582,full minus global_source_local_target
genvideo,auc,0.010646131437225134,13623.0,8.0,0.006009786810427443,0.015281553596772145,full minus global_source_local_target
genvideo,ap_real,0.014898884932152162,13623.0,8.0,0.00902424926824948,0.021629938464640484,full minus global_source_local_target
videofeedback,auc,-0.0022188888888887925,3500.0,10.0,-0.010212699450798477,0.005993636849577884,full minus global_source_local_target
videofeedback,ap_real,0.0018218552883603634,3500.0,10.0,-0.004509096227731711,0.008702859769049338,full minus global_source_local_target
Macro-3,auc,0.0053888464921423365,,,0.0021885748616668568,0.009143949096982682,full minus global_source_local_target
Macro-3,ap_real,0.008153104564995985,,,0.004962664542327163,0.011882627226576717,full minus global_source_local_target
comgenvid,auc,0.0067236769658881035,4091.0,2.0,0.0010802623844242021,0.011877512548031726,full minus local_d2_target_mean_source_whitening
comgenvid,ap_real,0.00678391331263728,4091.0,2.0,-1.3489788516489424e-05,0.0132350998417184,full minus local_d2_target_mean_source_whitening
genvideo,auc,0.0031491374270280204,13623.0,8.0,-0.0017279117033714901,0.00808989296352315,full minus local_d2_target_mean_source_whitening
genvideo,ap_real,0.0090446169514916,13623.0,8.0,0.0028004883665527567,0.01585612587343483,full minus local_d2_target_mean_source_whitening
videofeedback,auc,-0.007799444444444348,3500.0,10.0,-0.016505256588960765,0.0007096344145530738,full minus local_d2_target_mean_source_whitening
videofeedback,ap_real,-0.006556612718647259,3500.0,10.0,-0.013984384503953017,0.0006921822468275192,full minus local_d2_target_mean_source_whitening
Macro-3,auc,0.0006911233161572588,,,-0.003021839395147984,0.004388657928408086,full minus local_d2_target_mean_source_whitening
Macro-3,ap_real,0.0030906391818272066,,,-0.0008335334976690426,0.007089950548647678,full minus local_d2_target_mean_source_whitening
comgenvid,auc,7.44043928352367e-06,4091.0,2.0,-9.6268822856016e-06,2.4736463547585236e-05,full minus local_d2_source_mean_target_whitening
comgenvid,ap_real,5.343558720893871e-06,4091.0,2.0,-1.1985289467758563e-05,2.1864128246969203e-05,full minus local_d2_source_mean_target_whitening
genvideo,auc,-8.259419238132448e-05,13623.0,8.0,-0.0004016418072370919,1.0817570921682965e-05,full minus local_d2_source_mean_target_whitening
genvideo,ap_real,-3.64483540906263e-05,13623.0,8.0,-0.00019540864085557282,2.4400403035659473e-05,full minus local_d2_source_mean_target_whitening
videofeedback,auc,-1.666666666660932e-05,3500.0,10.0,-4.839168585055564e-05,1.2319570733690665e-05,full minus local_d2_source_mean_target_whitening
videofeedback,ap_real,-1.0525399758476438e-05,3500.0,10.0,-4.105202663492957e-05,1.7814175983651977e-05,full minus local_d2_source_mean_target_whitening
Macro-3,auc,-3.060680658813671e-05,,,-0.000137691761452435,5.927484179868617e-06,full minus local_d2_source_mean_target_whitening
Macro-3,ap_real,-1.3876731709402957e-05,,,-7.175705510580201e-05,1.119399016253547e-05,full minus local_d2_source_mean_target_whitening
comgenvid,auc,-0.012100634421456202,4091.0,2.0,-0.019100001965351488,-0.004658999439423999,full minus local_d2_target_diagonal
comgenvid,ap_real,-0.011289970010473105,4091.0,2.0,-0.018856921072948795,-0.003731407369548804,full minus local_d2_target_diagonal
genvideo,auc,-0.008791231140789071,13623.0,8.0,-0.015300853194810294,-0.0025194132152855293,full minus local_d2_target_diagonal
genvideo,ap_real,-0.011133607360202871,13623.0,8.0,-0.018430067804185057,-0.004311372605421712,full minus local_d2_target_diagonal
videofeedback,auc,0.05553333333333336,3500.0,10.0,0.04216156005695697,0.06963375901674358,full minus local_d2_target_diagonal
videofeedback,ap_real,0.054834017395503455,3500.0,10.0,0.0423961361406483,0.06665748399899958,full minus local_d2_target_diagonal
Macro-3,auc,0.011547155923696028,,,0.006040697877592956,0.017140711052625938,full minus local_d2_target_diagonal
Macro-3,ap_real,0.010803480008275827,,,0.00526099661317622,0.01603652461239343,full minus local_d2_target_diagonal
comgenvid,auc,0.061701392850234016,4091.0,2.0,0.04855963411070123,0.07522237168056618,full minus official
comgenvid,ap_real,0.060981658459841104,4091.0,2.0,0.04727003475677826,0.0768844010818963,full minus official
genvideo,auc,0.08070470712679806,13623.0,8.0,0.06376804319052604,0.09765096705998148,full minus official
genvideo,ap_real,0.06989239422475381,13623.0,8.0,0.05166640341728409,0.08924517991936036,full minus official
videofeedback,auc,-0.018764444444444407,3500.0,10.0,-0.03983021273447742,0.001124739656655512,full minus official
videofeedback,ap_real,-0.01719830742412771,3500.0,10.0,-0.033571635177138945,-0.0009117248938439518,full minus official
Macro-3,auc,0.041213885177529226,,,0.03141798703011779,0.05088349926143683,full minus official
Macro-3,ap_real,0.037891915086822395,,,0.028550865799387492,0.04734240330292947,full minus official
comgenvid,auc,0.0011994608161665643,4091.0,2.0,-0.0042985324798538145,0.006635792091056609,full minus uniform1
comgenvid,ap_real,0.0007329566775396978,4091.0,2.0,-0.0046231813317823695,0.006148612766583531,full minus uniform1
genvideo,auc,0.020853599105079418,13623.0,8.0,0.011020371837978098,0.03284042325174641,full minus uniform1
genvideo,ap_real,0.01468693082195656,13623.0,8.0,0.006740963516558867,0.02322488894777903,full minus uniform1
videofeedback,auc,0.0014577777777778135,3500.0,10.0,-0.003175317294109455,0.006860264161485314,full minus uniform1
videofeedback,ap_real,-0.0011861495658915145,3500.0,10.0,-0.005165130007499553,0.002886362277220153,full minus uniform1
Macro-3,auc,0.007836945899674598,,,0.0038972317271232368,0.012480804660791867,full minus uniform1
Macro-3,ap_real,0.004744579311201581,,,0.0014460574483804078,0.008389760058587761,full minus uniform1
comgenvid,auc,0.003147305816935453,4091.0,2.0,0.0010828496087735991,0.005302787735650063,full minus fc1
comgenvid,ap_real,0.003134605639967758,4091.0,2.0,0.0009898117904723655,0.005559136260031162,full minus fc1
genvideo,auc,0.0025655138840448705,13623.0,8.0,-0.000746921347169269,0.006050317380425478,full minus fc1
genvideo,ap_real,0.0018324642199374214,13623.0,8.0,-0.0015707983920297257,0.005676047543062558,full minus fc1
videofeedback,auc,0.003549444444444494,3500.0,10.0,-0.0004407953766427777,0.0077142627662631445,full minus fc1
videofeedback,ap_real,0.005688149807105547,3500.0,10.0,0.0016494962097006799,0.00985886450962229,full minus fc1
Macro-3,auc,0.0030874213818082724,,,0.0012166097822043065,0.004971411500263899,full minus fc1
Macro-3,ap_real,0.0035517398890035756,,,0.0015680186083063686,0.005506850152652801,full minus fc1
comgenvid,auc,-0.0032000089285271205,4091.0,2.0,-0.006628419920086547,-0.0002105297333377238,full minus uniform3
comgenvid,ap_real,-0.0038321103683298108,4091.0,2.0,-0.00732525488266423,-0.0010637282767708561,full minus uniform3
genvideo,auc,0.020184224600802228,13623.0,8.0,0.014478299834299813,0.02679023349545865,full minus uniform3
genvideo,ap_real,0.02282410078041129,13623.0,8.0,0.017548341677797702,0.028656826812913,full minus uniform3
videofeedback,auc,0.003779444444444502,3500.0,10.0,0.002567996087226183,0.005115607745675296,full minus uniform3
videofeedback,ap_real,0.002861814474523716,3500.0,10.0,0.0018340191643778888,0.00393894836117876,full minus uniform3
Macro-3,auc,0.0069212200389065365,,,0.004666416103701252,0.00922298320216872,full minus uniform3
Macro-3,ap_real,0.007284601628868399,,,0.005171822595905548,0.009565109283756167,full minus uniform3
