dataset,generator,n_real,n_fake,auc,real_positive_ap,fake_positive_ap,fake_tpr_at_0_1pct_real_fpr,fake_tpr_at_1pct_real_fpr,real_fpr_at_95pct_fake_tpr,variant,method,observation
genvideo,ModelScope,700,700,0.8791285714285715,0.876608964649181,0.8796453854231652,0.10142857142857142,0.22714285714285715,0.5257142857142857,full,Feature-change K1,fc1
genvideo,MorphStudio,700,700,0.8801316326530613,0.8755903252497861,0.8813583297872708,0.08142857142857143,0.24714285714285714,0.5014285714285714,full,Feature-change K1,fc1
genvideo,Show_1,700,700,0.8740775510204082,0.8525787682607182,0.8817247964515125,0.09285714285714286,0.26,0.5757142857142857,full,Feature-change K1,fc1
genvideo,Sora,56,56,0.9357461734693878,0.938160560153765,0.9413853265311155,0.5,0.5,0.2857142857142857,full,Feature-change K1,fc1
genvideo,WildScrape,515,515,0.8020925629182769,0.7251501401166885,0.836355612699883,0.06407766990291262,0.22135922330097088,0.8737864077669902,full,Feature-change K1,fc1
videofeedback,AnimateDiff,300,300,0.8432111111111111,0.8666594017808747,0.7969514358842176,0.016666666666666666,0.05,0.5733333333333334,full,Feature-change K1,fc1
videofeedback,Fast-SVD,300,300,0.9114333333333333,0.9256344233650475,0.8881959121921421,0.02,0.17333333333333334,0.2633333333333333,full,Feature-change K1,fc1
videofeedback,LVDM,300,300,0.8938166666666667,0.9059475250511203,0.8669714745620002,0.013333333333333334,0.11666666666666667,0.34,full,Feature-change K1,fc1
videofeedback,LaVie-base,300,300,0.82405,0.8376075345132482,0.800080941423737,0.013333333333333334,0.1,0.5733333333333334,full,Feature-change K1,fc1
videofeedback,ModelScope,300,300,0.8167777777777777,0.8188469176841582,0.8027366637694017,0.02,0.14333333333333334,0.6066666666666667,full,Feature-change K1,fc1
videofeedback,Pika,300,300,0.8781166666666668,0.9010749680154311,0.8489246041871983,0.02,0.13333333333333333,0.38666666666666666,full,Feature-change K1,fc1
videofeedback,SoRA-Clip,300,300,0.7722833333333332,0.7695263584137926,0.7678878858787201,0.05333333333333334,0.13,0.69,full,Feature-change K1,fc1
videofeedback,Text2Video-Zero,300,300,0.7202111111111111,0.7364917647579021,0.6866022955569362,0.016666666666666666,0.04666666666666667,0.73,full,Feature-change K1,fc1
videofeedback,VideoCrafter2,300,300,0.9089555555555555,0.9187988298296975,0.8929098241238906,0.04,0.18333333333333332,0.27,full,Feature-change K1,fc1
videofeedback,ZeroScope-576w,300,300,0.7795611111111111,0.7847327421594836,0.7389007289488859,0.01,0.056666666666666664,0.7566666666666667,full,Feature-change K1,fc1
comgenvid,Sora,898,898,0.9046606911672066,0.9100429758378678,0.9020795590398493,0.036748329621380846,0.30846325167037864,0.38084632516703787,full,Uniform K3,uniform3
comgenvid,VEO3,898,898,0.9352359363296808,0.9408242511033648,0.9297645630455575,0.052338530066815145,0.3585746102449889,0.3040089086859688,full,Uniform K3,uniform3
genvideo,Crafter,188,188,0.859495246717972,0.8363689884354975,0.8720505217382684,0.22872340425531915,0.2553191489361702,0.5638297872340425,full,Uniform K3,uniform3
genvideo,Gen2,1380,1380,0.9439946964923337,0.9510556514011782,0.9342822565349538,0.050724637681159424,0.34130434782608693,0.22391304347826088,full,Uniform K3,uniform3
genvideo,Lavie,1400,1400,0.8626908163265306,0.8561080330070338,0.862217774127632,0.039285714285714285,0.2507142857142857,0.51,full,Uniform K3,uniform3
genvideo,ModelScope,700,700,0.8703510204081633,0.8657797348803,0.8719118029943762,0.10857142857142857,0.2342857142857143,0.5471428571428572,full,Uniform K3,uniform3
genvideo,MorphStudio,700,700,0.8565122448979592,0.8517336038916514,0.8578925149729499,0.08142857142857143,0.21428571428571427,0.5585714285714286,full,Uniform K3,uniform3
genvideo,Show_1,700,700,0.8567693877551019,0.8287192815143194,0.8663038389367781,0.10714285714285714,0.24857142857142858,0.6357142857142857,full,Uniform K3,uniform3
