dataset,variant,nominal_real_fpr,threshold,role,group,n,count,rate,ci95_low,ci95_high,threshold_n,reference_real_fpr
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,Crafter,188,19,0.10106382978723404,0.06565857689789162,0.1524457842652578,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,Gen2,1380,201,0.14565217391304347,0.1280240313093715,0.16524761208144806,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,Lavie,1400,118,0.08428571428571428,0.07084612647768357,0.10000041556857744,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,ModelScope,700,86,0.12285714285714286,0.10057641927825424,0.14925464227262597,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,MorphStudio,700,83,0.11857142857142858,0.09667935444254781,0.14462706008050147,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,Show_1,700,83,0.11857142857142858,0.09667935444254781,0.14462706008050147,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,Sora,56,9,0.16071428571428573,0.08692667607595139,0.2780620666974952,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.001,-1516.8787064474225,fake,WildScrape,515,38,0.07378640776699029,0.05422738412664144,0.09965673107527506,2000,0.001
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,real,all_real,7984,195,0.02442384769539078,0.021259744951067156,0.028045372188656336,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,real,MSR-VTT,7984,195,0.02442384769539078,0.021259744951067156,0.028045372188656336,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,Crafter,188,53,0.28191489361702127,0.22246388711083145,0.3500998303250237,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,Gen2,1380,619,0.44855072463768114,0.42248940295896426,0.4748976863677192,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,Lavie,1400,418,0.2985714285714286,0.2751773316797108,0.3230679000334259,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,ModelScope,700,265,0.37857142857142856,0.34339528434999395,0.4150730498614637,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,MorphStudio,700,216,0.30857142857142855,0.27547604894352684,0.3437563838133594,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,Show_1,700,222,0.3171428571428571,0.2837466032618096,0.3525351235507384,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,Sora,56,24,0.42857142857142855,0.3076896268393824,0.5586237926918696,2000,0.01
genvideo,local_d2_source_mean_target_whitening_raw,0.01,-1503.3690136010975,fake,WildScrape,515,132,0.2563106796116505,0.2205043422103375,0.29572552775704525,2000,0.01
genvideo,local_d2_source_only,0.001,0.0035035035035035035,real,all_real,7984,339,0.04245991983967936,0.03825266175602979,0.04710725210001708,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,real,MSR-VTT,7984,339,0.04245991983967936,0.03825266175602979,0.04710725210001708,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,Crafter,188,51,0.2712765957446808,0.21277362978120035,0.338939537285672,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,Gen2,1380,490,0.35507246376811596,0.3302588918421451,0.38069065555696313,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,Lavie,1400,381,0.27214285714285713,0.24947653471918824,0.2960561919350338,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,ModelScope,700,246,0.3514285714285714,0.31695991635119786,0.3875189866839975,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,MorphStudio,700,220,0.3142857142857143,0.2809882512717599,0.3496103775222342,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,Show_1,700,195,0.2785714285714286,0.2466390307200269,0.31292087284204295,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,Sora,56,19,0.3392857142857143,0.2291997240159191,0.4700054699293978,2000,0.001
genvideo,local_d2_source_only,0.001,0.0035035035035035035,fake,WildScrape,515,124,0.2407766990291262,0.20585653394894635,0.27953539944265204,2000,0.001
genvideo,local_d2_source_only,0.01,0.012012012012012012,real,all_real,7984,785,0.09832164328657314,0.09198240128519981,0.10504723017834859,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,real,MSR-VTT,7984,785,0.09832164328657314,0.09198240128519981,0.10504723017834859,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,Crafter,188,74,0.39361702127659576,0.32658113542409095,0.46491336088608237,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,Gen2,1380,883,0.6398550724637682,0.614171793530213,0.6647618932296476,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,Lavie,1400,620,0.44285714285714284,0.4170291475397636,0.46899786854906933,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,ModelScope,700,395,0.5642857142857143,0.5273011332003379,0.6005685722171257,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,MorphStudio,700,310,0.44285714285714284,0.4064710986869151,0.4798669409420062,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,Show_1,700,355,0.5071428571428571,0.4701690008367124,0.5440387442096725,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,Sora,56,28,0.5,0.37331738801362335,0.6266826119863766,2000,0.0085
genvideo,local_d2_source_only,0.01,0.012012012012012012,fake,WildScrape,515,231,0.44854368932038835,0.40612839986813254,0.4917209352245816,2000,0.0085
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,real,all_real,7984,353,0.04421342685370742,0.039919222093788516,0.04894601922078979,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,real,MSR-VTT,7984,353,0.04421342685370742,0.039919222093788516,0.04894601922078979,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,Crafter,188,41,0.21808510638297873,0.16502363029481576,0.28243678492714325,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,Gen2,1380,509,0.36884057971014494,0.3437809942978363,0.3946283460983567,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,Lavie,1400,354,0.25285714285714284,0.23078661116583712,0.276280233418366,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,ModelScope,700,251,0.3585714285714286,0.32390479363450986,0.39478185444707037,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,MorphStudio,700,181,0.25857142857142856,0.22751516341587086,0.29226305401632147,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,Show_1,700,201,0.28714285714285714,0.2548602222980225,0.32174897531970914,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,Sora,56,19,0.3392857142857143,0.2291997240159191,0.4700054699293978,2000,0.001
genvideo,local_d2_source_raw,0.001,-1530.4524440580597,fake,WildScrape,515,120,0.23300970873786409,0.1985569981320789,0.27141596697162734,2000,0.001
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,real,all_real,7984,825,0.1033316633266533,0.09684447475257237,0.11020037802106587,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,real,MSR-VTT,7984,825,0.1033316633266533,0.09684447475257237,0.11020037802106587,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,Crafter,188,86,0.4574468085106383,0.3877971259354607,0.5288006725886086,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,Gen2,1380,913,0.6615942028985508,0.6362117419573319,0.6860795126926624,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,Lavie,1400,651,0.465,0.43900449566677535,0.4911870516876349,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,ModelScope,700,405,0.5785714285714286,0.5416603865518309,0.6146248089584024,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,MorphStudio,700,337,0.48142857142857143,0.44461666062945593,0.5184432022499436,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,Show_1,700,359,0.5128571428571429,0.47586049769454114,0.5497134433889517,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,Sora,56,29,0.5178571428571429,0.39010383924176983,0.6433178058754173,2000,0.01
genvideo,local_d2_source_raw,0.01,-1518.4925456213132,fake,WildScrape,515,240,0.46601941747572817,0.42334673332045597,0.5091952804200156,2000,0.01
genvideo,local_d2_target,0.001,0.018543418418418417,real,all_real,7984,42,0.005260521042084168,0.0038943421182198183,0.007102553510410102,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,real,MSR-VTT,7984,42,0.005260521042084168,0.0038943421182198183,0.007102553510410102,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,Crafter,188,19,0.10106382978723404,0.06565857689789162,0.1524457842652578,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,Gen2,1380,240,0.17391304347826086,0.1548274687918067,0.1948090128561868,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,Lavie,1400,211,0.15071428571428572,0.1329305336956148,0.17040960214737771,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,ModelScope,700,91,0.13,0.10709230042939183,0.15694650616787326,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,MorphStudio,700,79,0.11285714285714285,0.09149871236173159,0.1384415061242098,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,Show_1,700,86,0.12285714285714286,0.10057641927825424,0.14925464227262597,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,Sora,56,6,0.10714285714285714,0.05003935571117074,0.21468445171071482,2000,0.001
genvideo,local_d2_target,0.001,0.018543418418418417,fake,WildScrape,515,51,0.09902912621359224,0.07612495325259044,0.12787080888497565,2000,0.001
genvideo,local_d2_target,0.01,0.04514927427427427,real,all_real,7984,109,0.013652304609218437,0.011330683183322907,0.01644170813970747,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,real,MSR-VTT,7984,109,0.013652304609218437,0.011330683183322907,0.01644170813970747,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,Crafter,188,42,0.22340425531914893,0.16974184226501818,0.2881438481414321,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,Gen2,1380,524,0.37971014492753624,0.35447202127284216,0.40561610306841767,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,Lavie,1400,427,0.305,0.2814435326914361,0.3296236597117069,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,ModelScope,700,167,0.23857142857142857,0.2084787229371126,0.2715178083652021,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,MorphStudio,700,171,0.24428571428571427,0.21390838709948912,0.2774543402399335,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,Show_1,700,181,0.25857142857142856,0.22751516341587086,0.29226305401632147,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,Sora,56,16,0.2857142857142857,0.18418775143858906,0.4147525071551667,2000,0.01
genvideo,local_d2_target,0.01,0.04514927427427427,fake,WildScrape,515,115,0.22330097087378642,0.1894565243278017,0.26124273041603935,2000,0.01
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,real,all_real,7984,10,0.00125250501002004,0.0006804960672766831,0.002304222513281377,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,real,MSR-VTT,7984,10,0.00125250501002004,0.0006804960672766831,0.002304222513281377,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,Crafter,188,7,0.03723404255319149,0.01815116877720817,0.07484989017204514,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,Gen2,1380,142,0.10289855072463767,0.08795521903723343,0.12004654083632303,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,Lavie,1400,73,0.052142857142857144,0.04167455888513352,0.06506217971109612,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,ModelScope,700,21,0.03,0.019704257608847992,0.045426118339029195,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,MorphStudio,700,24,0.03428571428571429,0.02314646061970339,0.050508562356004705,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,Show_1,700,22,0.03142857142857143,0.02084512690655483,0.047126798050599335,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,Sora,56,3,0.05357142857142857,0.018385781382109126,0.14607309068821533,2000,0.001
genvideo,local_d2_target_diagonal,0.001,0.009752252252252252,fake,WildScrape,515,15,0.02912621359223301,0.017728928781547217,0.047496118764989256,2000,0.001
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,real,all_real,7984,104,0.013026052104208416,0.01076271621666472,0.01575777244260443,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,real,MSR-VTT,7984,104,0.013026052104208416,0.01076271621666472,0.01575777244260443,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,Crafter,188,49,0.26063829787234044,0.2031276730787089,0.32773494361918076,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,Gen2,1380,752,0.5449275362318841,0.5185654994117863,0.5710401408944901,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,Lavie,1400,450,0.32142857142857145,0.2974820104586457,0.3463524148189578,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,ModelScope,700,149,0.21285714285714286,0.18414375798185328,0.244704891153476,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,MorphStudio,700,182,0.26,0.22887833208082048,0.29374143436064876,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,Show_1,700,190,0.2714285714285714,0.2397994413920452,0.30555271712363974,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,Sora,56,13,0.23214285714285715,0.1409937910920862,0.35768153215010856,2000,0.01
genvideo,local_d2_target_diagonal,0.01,0.06764852352352353,fake,WildScrape,515,128,0.24854368932038834,0.21317248708895864,0.28763841459053185,2000,0.01
genvideo,local_d2_target_diagonal_only,0.001,0.0035035035035035035,real,all_real,7984,33,0.004133266533066132,0.002944712574623965,0.005798758259235745,2000,0.001
