dataset,metric,delta,source_groups,generator_cells,ci95_low,ci95_high,contrast
Average,ap_real,0.0012060421900277,,,-0.0033540472973211,0.0058491112584475,full minus global_target_local_source
comgenvid,auc,0.0077392969280906,2487.0,2.0,0.0027173240204362,0.0122991097597129,full minus global_source_local_target
comgenvid,ap_real,0.0077385734744754,2487.0,2.0,0.0031401946495592,0.0121651620909335,full minus global_source_local_target
genvideo,auc,0.0121202731476953,8365.0,10.0,0.0075071793771462,0.0165992448213566,full minus global_source_local_target
genvideo,ap_real,0.0166596834672116,8365.0,10.0,0.0107373533470958,0.021787656546748,full minus global_source_local_target
videofeedback,auc,-0.0002821706122318,3514.0,11.0,-0.008748306909297,0.0084393679142053,full minus global_source_local_target
videofeedback,ap_real,0.0033010029460122,3514.0,11.0,-0.0034547685507521,0.0110289069827896,full minus global_source_local_target
Macro-3,auc,0.0065257998211847,,,0.0028489586469972,0.0099464690780055,full minus global_source_local_target
Macro-3,ap_real,0.0092330866292331,,,0.0057194673488417,0.0126001427277325,full minus global_source_local_target
Average,auc,0.0058077151564601,,,0.0015535395107578,0.0103136176670886,full minus global_source_local_target
Average,ap_real,0.0094950006098783,,,0.00536738442022,0.0136956813177693,full minus global_source_local_target
comgenvid,auc,0.0067236769658881,2487.0,2.0,0.001285939572362,0.0118630550447051,full minus local_d2_target_mean_source_whitening
comgenvid,ap_real,0.0067839133126372,2487.0,2.0,0.0002147320040317,0.0129417548032732,full minus local_d2_target_mean_source_whitening
genvideo,auc,0.0026803828184862,8365.0,10.0,-0.0017878056186898,0.0072367025334449,full minus local_d2_target_mean_source_whitening
genvideo,ap_real,0.0087564334470661,8365.0,10.0,0.0031270457826301,0.0143316278435845,full minus local_d2_target_mean_source_whitening
videofeedback,auc,-0.0074656969309698,3514.0,11.0,-0.0173486572806244,0.0033649324676314,full minus local_d2_target_mean_source_whitening
videofeedback,ap_real,-0.0066927050140989,3514.0,11.0,-0.0149113198281275,0.001630350832519,full minus local_d2_target_mean_source_whitening
Macro-3,auc,0.0006461209511348,,,-0.0035567541989144,0.0048025143400734,full minus local_d2_target_mean_source_whitening
Macro-3,ap_real,0.0029492139152014,,,-0.0009845212514148,0.0066703741012392,full minus local_d2_target_mean_source_whitening
Average,auc,-0.0018204993097404,,,-0.0072157124974634,0.0036430663153586,full minus local_d2_target_mean_source_whitening
Average,ap_real,0.0011961915626455,,,-0.0033598960001418,0.0058340814560213,full minus local_d2_target_mean_source_whitening
comgenvid,auc,7.44043928352367e-06,2487.0,2.0,-9.570164810368542e-06,2.5419045694267948e-05,full minus local_d2_source_mean_target_whitening
comgenvid,ap_real,5.343558720893871e-06,2487.0,2.0,-1.075720121325868e-05,2.166042133401186e-05,full minus local_d2_source_mean_target_whitening
genvideo,auc,-6.41359326262303e-05,8365.0,10.0,-0.0003270931743589,1.2090958023882038e-05,full minus local_d2_source_mean_target_whitening
genvideo,ap_real,-2.6100175111531955e-05,8365.0,10.0,-0.0001622632723435,2.1224314416116988e-05,full minus local_d2_source_mean_target_whitening
videofeedback,auc,-6.077457334728965e-06,3514.0,11.0,-4.244367310252229e-05,2.885027411764723e-05,full minus local_d2_source_mean_target_whitening
videofeedback,ap_real,-3.2353519153255856e-06,3514.0,11.0,-3.379922816842255e-05,2.910648792525016e-05,full minus local_d2_source_mean_target_whitening
Macro-3,auc,-2.092431689247853e-05,,,-0.0001097097769965,1.2334718477503951e-05,full minus local_d2_source_mean_target_whitening
Macro-3,ap_real,-7.997322768654557e-06,,,-5.404404646626167e-05,1.3897229853059011e-05,full minus local_d2_source_mean_target_whitening
Average,auc,-3.014480340770757e-05,,,-0.0001459122010913,1.2037837809912877e-05,full minus local_d2_source_mean_target_whitening
Average,ap_real,-1.2430587162700576e-05,,,-7.18381882713728e-05,1.5294842941888267e-05,full minus local_d2_source_mean_target_whitening
comgenvid,auc,-0.0121006344214562,2487.0,2.0,-0.0192644226610459,-0.0051095425162806,full minus local_d2_target_diagonal
comgenvid,ap_real,-0.0112899700104731,2487.0,2.0,-0.0196740755195436,-0.0042412042750964,full minus local_d2_target_diagonal
genvideo,auc,-0.0059346124047513,8365.0,10.0,-0.0113846303928008,-0.0001680365398007,full minus local_d2_target_diagonal
genvideo,ap_real,-0.0080422736842358,8365.0,10.0,-0.0133821914636083,-0.0016655451450129,full minus local_d2_target_diagonal
videofeedback,auc,0.0646806965914846,3514.0,11.0,0.0504839114927688,0.077986075655469,full minus local_d2_target_diagonal
videofeedback,ap_real,0.0596809928362867,3514.0,11.0,0.046957453658247,0.073067243734636,full minus local_d2_target_diagonal
Macro-3,auc,0.0155484832550923,,,0.0095436465644633,0.0211316653183901,full minus local_d2_target_diagonal
Macro-3,ap_real,0.0134495830471925,,,0.008092158208317,0.0188934056738933,full minus local_d2_target_diagonal
Average,auc,0.0273017508528654,,,0.0198740294755343,0.0345301488672315,full minus local_d2_target_diagonal
Average,ap_real,0.0240647062754717,,,0.0176019824213331,0.0310650973093597,full minus local_d2_target_diagonal
comgenvid,auc,0.0617013928502339,2487.0,2.0,0.0478237745796646,0.0758067070465318,full minus official
comgenvid,ap_real,0.0609812354532751,2487.0,2.0,0.0460350237207385,0.0776392648504785,full minus official
genvideo,auc,0.0836202151609507,8365.0,10.0,0.0685171286618671,0.0998350808052792,full minus official
genvideo,ap_real,0.0739851637103681,8365.0,10.0,0.0579223834586269,0.0898536865912906,full minus official
videofeedback,auc,-0.0187898518284319,3514.0,11.0,-0.0391744670458109,0.0021023435468657,full minus official
videofeedback,ap_real,-0.0169527671269921,3514.0,11.0,-0.033789397734168,0.0009301831548917,full minus official
Macro-3,auc,0.0421772520609175,,,0.0326958810869824,0.051817863002595,full minus official
Macro-3,ap_real,0.0393378773455503,,,0.0301835274513208,0.0484653861207277,full minus official
Average,auc,0.0327355029216184,,,0.0215033506124438,0.0448069179885383,full minus official
Average,ap_real,0.0293623334614486,,,0.0184909712140112,0.0400363976890811,full minus official
comgenvid,auc,0.0011994608161665,2487.0,2.0,-0.0039903568370167,0.006693573284175,full minus uniform1
comgenvid,ap_real,0.0007329566775396,2487.0,2.0,-0.0042868211578692,0.0057894449201092,full minus uniform1
genvideo,auc,0.0166828792840635,8365.0,10.0,0.0089473464784392,0.0258004279741933,full minus uniform1
genvideo,ap_real,0.0117495446575652,8365.0,10.0,0.0054525775651291,0.0187561916458107,full minus uniform1
videofeedback,auc,0.0016813354559839,3514.0,11.0,-0.0031712094543719,0.0065221926759055,full minus uniform1
videofeedback,ap_real,-0.0006656650124759,3514.0,11.0,-0.004184886139013,0.0030654839565413,full minus uniform1
Macro-3,auc,0.0065212251854046,,,0.0029339388347475,0.0104279797507976,full minus uniform1
Macro-3,ap_real,0.0039389454408763,,,0.0008653125370164,0.0071457460086588,full minus uniform1
Average,auc,0.0081618436734257,,,0.0040153657149829,0.012840519463074,full minus uniform1
Average,ap_real,0.0048538715127607,,,0.0014399477105495,0.0085436000010745,full minus uniform1
comgenvid,auc,0.0031473058169354,2487.0,2.0,0.0011015036530181,0.0051410252005917,full minus fc1
comgenvid,ap_real,0.0031346056399677,2487.0,2.0,0.0011080837236688,0.0053438807592321,full minus fc1
genvideo,auc,0.0020524111072358,8365.0,10.0,-0.0005511121228875,0.0051476549585431,full minus fc1
genvideo,ap_real,0.0014659713759499,8365.0,10.0,-0.0012664305162349,0.0048611090203859,full minus fc1
videofeedback,auc,0.0042624246834139,3514.0,11.0,-0.0002334968521678,0.0089669073531495,full minus fc1
videofeedback,ap_real,0.0059465071096257,3514.0,11.0,0.0021979133099051,0.010294472577029,full minus fc1
Macro-3,auc,0.0031540472025284,,,0.0013102955302872,0.0050357307741369,full minus fc1
Macro-3,ap_real,0.0035156947085144,,,0.0019230855106015,0.0054316443774674,full minus fc1
Average,auc,0.0032045823575557,,,0.0007866401236081,0.005705582527273,full minus fc1
Average,ap_real,0.0037539349237094,,,0.0015849996794643,0.0062383184465089,full minus fc1
comgenvid,auc,-0.0032000089285271,2487.0,2.0,-0.0062773728779031,-0.000162105083737,full minus uniform3
comgenvid,ap_real,-0.0038321103683298,2487.0,2.0,-0.0070370600564209,-0.0009808003449138,full minus uniform3
genvideo,auc,0.0161473796806417,8365.0,10.0,0.0116759722278486,0.0209305703442963,full minus uniform3
genvideo,ap_real,0.018259280624329,8365.0,10.0,0.0137783838010533,0.022875089904645,full minus uniform3
videofeedback,auc,0.003466591622552,3514.0,11.0,0.0018432116578317,0.0049699930766396,full minus uniform3
videofeedback,ap_real,0.0030468148207648,3514.0,11.0,0.0018690029655897,0.0042295158057388,full minus uniform3
Macro-3,auc,0.0054713207915555,,,0.0035498136315079,0.0074948317359095,full minus uniform3
Macro-3,ap_real,0.0058246616922547,,,0.0038687597763517,0.007664631324446,full minus uniform3
Average,auc,0.0084002733390189,,,0.0063065167130894,0.0106548816980639,full minus uniform3
Average,ap_real,0.0090627629797845,,,0.0070099545062171,0.0111263865619808,full minus uniform3
