dataset,variant,window_frames,role,group,nominal_real_fpr,threshold,threshold_n,n,count,rate,ci95_low,ci95_high,reference_real_fpr
videofeedback,local_d2_target_diagonal_only,16,fake,LaVie-base,0.001,0.0,2000,258,0,0.0,0.0,0.014670934228657465,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,ModelScope,0.001,0.0,2000,246,0,0.0,0.0,0.015375585936884312,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,Pika,0.001,0.0,2000,132,0,0.0,0.0,0.02827898679860847,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,SoRA-Clip,0.001,0.0,2000,290,0,0.0,8.673617379884035e-19,0.01307323628228457,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,Text2Video-Zero,0.001,0.0,2000,296,0,0.0,-8.673617379884035e-19,0.012811633307158257,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,VideoCrafter2,0.001,0.0,2000,232,0,0.0,0.0,0.016288310121142503,0.0
videofeedback,local_d2_target_diagonal_only,16,fake,ZeroScope-576w,0.001,0.0,2000,276,0,0.0,8.673617379884035e-19,0.01372726842149399,0.0
videofeedback,local_d2_target_diagonal_only,16,real,all_real,0.01,0.009009009009009009,2000,296,2,0.006756756756756757,0.0018549062808743601,0.024297110359970946,0.0095
videofeedback,local_d2_target_diagonal_only,16,real,DiDeMo,0.01,0.009009009009009009,2000,148,0,0.0,-1.734723475976807e-18,0.025299143267784395,0.0095
videofeedback,local_d2_target_diagonal_only,16,real,Panda70M,0.01,0.009009009009009009,2000,148,2,0.013513513513513514,0.00371374962448039,0.04792866004147199,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,AnimateDiff,0.01,0.009009009009009009,2000,218,4,0.01834862385321101,0.007157978768142982,0.0462200457167443,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,Fast-SVD,0.01,0.009009009009009009,2000,290,17,0.05862068965517241,0.036918535783165674,0.09186335555567865,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,LVDM,0.01,0.009009009009009009,2000,276,0,0.0,8.673617379884035e-19,0.01372726842149399,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,LaVie-base,0.01,0.009009009009009009,2000,258,3,0.011627906976744186,0.00396227074024854,0.033623292924951774,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,ModelScope,0.01,0.009009009009009009,2000,246,1,0.0040650406504065045,0.0007179402640030384,0.02266272220997978,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,Pika,0.01,0.009009009009009009,2000,132,10,0.07575757575757576,0.041668064785746674,0.1338413785585272,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,SoRA-Clip,0.01,0.009009009009009009,2000,290,10,0.034482758620689655,0.01883625976655142,0.062300891254885936,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,Text2Video-Zero,0.01,0.009009009009009009,2000,296,5,0.016891891891891893,0.007236239007100655,0.03892635263427524,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,VideoCrafter2,0.01,0.009009009009009009,2000,232,5,0.021551724137931036,0.00923990708986426,0.049449768974332446,0.0095
videofeedback,local_d2_target_diagonal_only,16,fake,ZeroScope-576w,0.01,0.009009009009009009,2000,276,1,0.0036231884057971015,0.0006398682949870938,0.020234303978525055,0.0095
videofeedback,local_d2_target_diagonal_raw,16,real,all_real,0.001,-1455.5125062881523,2000,296,0,0.0,-8.673617379884035e-19,0.012811633307158257,0.001
videofeedback,local_d2_target_diagonal_raw,16,real,DiDeMo,0.001,-1455.5125062881523,2000,148,0,0.0,-1.734723475976807e-18,0.025299143267784395,0.001
