dataset,video_id,selector,repeat,duration_seconds,total_seconds,coarse_decode_prepare_seconds,selection_seconds,coarse_forward_seconds,dense_decode_prepare_seconds,dense_forward_seconds,score_seconds,cdf_seconds,coarse_frames,dense_unique_frames,effective_k,observed_unique_frames,coarse_computed_frames,dense_computed_frames,peak_gpu_allocated_mib,peak_gpu_reserved_mib,rss_mib,process_peak_rss_mib,final_score,window_frames,source_model,subset,score_error
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform3,0,13.013,0.3362158555537462,2.5898218154907227e-05,6.200186908245087e-05,0.0,0.1101387944072485,0.1818552482873201,0.0434114336967468,0.000718854367733,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2124.55078125,3117.203125,0.3583872622622622,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,uniform3,0,8.0,0.4970279820263386,1.840852200984955e-05,5.77680766582489e-05,0.0,0.2507445272058248,0.1821911837905645,0.0632974859327077,0.0007149949669837,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2138.91796875,3117.203125,0.1910233983983983,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,uniform3,0,8.0,0.479832174256444,1.7935410141944885e-05,5.168840289115906e-05,0.0,0.2613745387643575,0.1829737443476915,0.0347016770392656,0.0007087793201208,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2138.91796875,3117.203125,0.3642022022022022,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,uniform3,1,5.0,0.3251759130507707,1.5623867511749268e-05,5.1507726311683655e-05,0.0,0.1174178998917341,0.1551268845796585,0.0518523845821619,0.0007069762796163,0,40.0,3.0,40,0.0,40.0,1270.11669921875,1384.0,2138.91796875,3117.203125,0.0129645895895895,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,uniform3,1,10.0,0.3655238822102546,2.127140760421753e-05,5.590356886386871e-05,0.0,0.1297028809785843,0.1820361223071813,0.0529535766690969,0.0007501412183046,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2181.7421875,3117.203125,0.7265803303303303,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,uniform3,1,10.01,1.1096061784774065,4.452653229236603e-05,0.0001149717718362,0.0,0.8893454428762197,0.1819730568677187,0.0374302342534065,0.0006937142461538,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2157.39453125,3117.203125,0.349389014014014,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,uniform3,1,13.013,0.370755860581994,2.370402216911316e-05,5.622394382953644e-05,0.0,0.1359205357730388,0.1833154410123825,0.0507510863244533,0.0006849728524684,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2157.39453125,3117.203125,0.3583872622622622,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,uniform3,1,8.0,0.4880595803260803,1.8037855625152588e-05,5.122832953929901e-05,0.0,0.2450056932866573,0.1822453998029232,0.0599903408437967,0.0007448587566614,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2157.39453125,3117.203125,0.1910233983983983,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,uniform3,1,8.0,0.5024261996150017,1.9291415810585025e-05,5.372054874897003e-05,0.0,0.2610335927456617,0.1825909875333309,0.0580150112509727,0.0007092282176017,0,48.0,3.0,48,0.0,48.0,1270.11669921875,1384.0,2157.39453125,3117.203125,0.3642022022022022,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,fc3,0,5.0,0.3355897534638643,0.0439053401350975,0.0002757869660854,0.0306800175458192,0.1031724419444799,0.1224924717098474,0.0343232676386833,0.0007353276014328,5,32.0,3.0,33,8.0,32.0,1270.11669921875,1384.0,2173.703125,3117.203125,0.011838088088088,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/ronron0319_846026845%2Fmd.mp4,fc3,0,10.0,0.3719292227178812,0.0797077920287847,0.0003600791096687,0.0609272196888923,0.1014646813273429,0.0927208717912435,0.0360047593712806,0.0007396545261144,10,24.0,3.0,31,16.0,24.0,1270.11669921875,1384.0,2173.703125,3117.203125,0.762894019019019,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/lw7pTwpx0K0_38_48.mp4,fc3,0,10.01,1.5511282738298178,0.6289039365947247,0.0003815032541751,0.0589204262942075,0.6494458578526974,0.1521156206727028,0.0606558341532945,0.0007008835673332,10,36.0,3.0,41,16.0,40.0,1270.11669921875,1384.0,2152.4453125,3117.203125,0.4073826326326326,16,,,
comgenvid,comgenvid:datasets/comgenvid/real/MSVD/VxM96IYzw0Q_2_15.mp4,fc3,0,13.013,0.4675933420658111,0.0912971086800098,0.0004274398088455,0.0596756637096405,0.1106550842523574,0.1520380526781082,0.0527814570814371,0.0007142759859561,13,36.0,3.0,44,16.0,40.0,1270.11669921875,1384.0,2152.4453125,3117.203125,0.3461714214214214,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/d5e45073-c4e6-5614-90b6-162e5011ffed.mp4,fc3,0,8.0,0.4688278697431087,0.1050915624946355,0.0003531314432621,0.0302586648613214,0.1737721096724271,0.1223441902548074,0.0362823773175478,0.0007214490324258,8,28.0,3.0,32,8.0,32.0,1270.11669921875,1384.0,2152.4453125,3117.203125,0.1665827077077077,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/VEO3/86344334-97ae-5493-afc4-65be75e10b08.mp4,fc3,0,8.0,0.4406950585544109,0.1106134634464979,0.0003208722919225,0.0301703326404094,0.1715416815131902,0.0915239807218313,0.0358409732580184,0.000679075717926,8,24.0,3.0,29,8.0,24.0,1270.11669921875,1384.0,2152.4453125,3117.203125,0.3253624874874875,16,,,
comgenvid,comgenvid:datasets/comgenvid/fake/Sora/sakaya5_515406421%2Fmd.mp4,fc3,1,5.0,0.3317105434834957,0.0476466547697782,0.000251717865467,0.030151393264532,0.085687069222331,0.1230692118406295,0.0442177504301071,0.0006820876151323,5,32.0,3.0,33,8.0,32.0,1270.11669921875,1384.0,2152.4453125,3117.203125,0.011838088088088,16,,,
